leaf_index,r0,r1,r2,r3,r4
0,-9.79018,-0.4244,-0.23197,-1.7099,-0.99731
1,-9.65889,-0.09279,-1.02697,-1.46195,-1.87222
2,-9.60235,-0.88841,-2.14611,-1.086,-1.1047
3,-9.57432,-1.51223,-1.63396,-1.04013,-1.51458
4,-9.57356,-2.37678,-0.49893,-0.0989,-1.56177
5,-9.47658,-0.83209,-0.36235,-3.02232,-0.48607
6,-9.41097,-1.30961,-2.72219,-1.32131,-0.74996
7,-9.40091,-1.23624,-1.3032,-1.75851,-2.30303
8,-9.27823,-0.93394,-2.30986,-2.69797,-0.65391
9,-9.19949,-0.63319,-1.67445,-3.40878,-0.73812
10,-9.1799,-1.7257,-2.14954,-2.82093,-0.4162
11,-9.10623,-0.27208,-3.48049,-2.19311,-0.28108
12,-9.03437,-3.84172,-1.69885,-0.49446,-0.7006
13,-8.92687,-3.34022,-1.57782,-2.54508,-0.43233
14,-8.89291,-3.32759,-2.38002,-1.98069,-0.50564
15,-8.86661,-0.00757,-4.43785,-0.79389,-1.0288
16,-8.86017,-2.43858,-3.4736,-0.80021,-1.68658
17,-8.82725,-2.01057,-1.69227,-2.76258,-2.74622
18,-8.82053,-3.26427,-2.45921,-0.20349,-2.3353
19,-8.80962,-0.32144,-0.83786,-3.47751,-3.08094
20,-8.75605,-2.38586,-2.20222,-1.41913,-3.28262
21,-8.72886,-2.27224,-3.69817,-0.81162,-2.07573
22,-8.71302,-3.23486,-1.38547,-2.03257,-2.75102
23,-8.71172,-1.0566,-2.79848,-3.88827,-0.19852
24,-8.68111,-0.19891,-1.62795,-3.14893,-3.46884
25,-8.6102,-2.14295,-3.35705,-3.13423,-0.42316
26,-8.59754,-1.71413,-1.71767,-0.79281,-4.42325
27,-8.5946,-0.09941,-5.09746,-0.05433,-0.36877
28,-8.54253,-4.77424,-1.61628,-1.1742,-0.49062
29,-8.52352,-0.70612,-0.64495,-5.00006,-1.19766
30,-8.52117,-3.16374,-2.72823,-2.62408,-1.74681
31,-8.5161,-2.77441,-1.57883,-3.25336,-2.58873
32,-8.49556,-1.31396,-2.81828,-0.29088,-4.25109
33,-8.48665,-4.20227,-0.90368,-0.62779,-3.01778
34,-8.44595,-2.55112,-0.28457,-0.41912,-4.67985
35,-8.43653,-1.23572,-5.00424,-1.43573,-0.44074
36,-8.41563,-1.44375,-2.36282,-4.59483,-0.63035
37,-8.40452,-2.23686,-0.19281,-4.66291,-1.60645
38,-8.39245,-2.82695,-2.60958,-1.52135,-3.52857
39,-8.37157,-0.5157,-0.12274,-5.30128,-1.23783
40,-8.35409,-3.54416,-2.79166,-2.81136,-1.39677
41,-8.32882,-5.0827,-1.54106,-0.33056,-1.52079
42,-8.30501,-2.84951,-1.36141,-0.95587,-4.48777
43,-8.30339,-3.76469,-4.06531,-0.24929,-0.54034
44,-8.3008,-3.4364,-3.55848,-1.82337,-1.81668
45,-8.26604,-2.24992,-3.87481,-2.66686,-2.11756
46,-8.24452,-0.95593,-0.88889,-3.81811,-3.96813
47,-8.24301,-0.15746,-1.64053,-1.55324,-5.18884
48,-8.23251,-1.25001,-4.52096,-3.19533,-0.11853
49,-8.2084,-0.91403,-1.136,-4.19152,-3.59547
50,-8.19328,-3.28757,-3.06162,-1.75855,-3.09775
51,-8.04195,-1.70246,-4.31027,-3.68592,-0.51398
52,-8.03739,-1.65474,-3.83585,-4.08608,-1.11913
53,-8.03305,-1.01825,-1.01381,-2.69756,-5.11161
54,-7.94564,-0.00237,-2.91646,-3.37909,-4.11616
55,-7.94098,-2.58453,-0.60363,-4.92662,-2.37174
56,-7.93351,-0.52493,-2.87422,-1.48757,-5.12931
57,-7.92249,-3.14166,-2.90899,-4.04751,-1.5873
58,-7.90657,-5.2927,-0.47349,-0.05181,-3.04081
59,-7.84786,-3.74973,-0.63931,-1.17209,-4.75059
60,-7.84417,-5.26727,-3.26289,-0.19638,-0.19938
61,-7.83573,-4.84374,-2.49085,-2.93033,-0.59025
62,-7.82262,-4.88545,-0.3225,-3.649,-1.23283
63,-7.82131,-6.11333,-0.34752,-1.14702,-0.13405
64,-7.81473,-3.54635,-1.3886,-3.10005,-3.849
65,-7.80965,-3.40469,-1.54253,-4.93745,-0.81221
66,-7.77966,-3.40153,-3.46976,-3.64315,-1.6108
67,-7.77264,-5.13702,-2.89057,-2.17462,-0.33577
68,-7.75857,-1.82416,-4.8567,-3.41691,-1.10198
69,-7.72467,-2.5977,-4.05102,-1.10572,-3.99349
70,-7.71379,-0.09398,-1.28138,-5.85865,-2.12672
71,-7.71336,-1.75347,-1.49534,-5.22694,-2.80578
72,-7.70557,-0.10123,-5.60516,-1.65296,-2.54241
73,-7.70175,-0.99861,-4.45475,-4.12675,-1.6766
74,-7.70174,-5.28988,-3.4219,-0.99061,-0.09803
75,-7.69772,-3.14829,-3.93117,-3.90963,-0.30659
76,-7.68938,-0.22664,-4.44503,-3.53613,-2.92568
77,-7.67114,-4.65457,-2.8557,-1.71986,-2.89407
78,-7.65591,-0.59934,-5.60336,-0.7362,-3.01468
79,-7.64926,-3.53588,-2.48747,-2.87627,-3.81129
80,-7.625,-2.20716,-2.4043,-5.56656,-0.46968
81,-7.60498,-0.7628,-3.54973,-1.16488,-5.25594
82,-7.5983,-1.29297,-5.4139,-0.03326,-3.35896
83,-7.55379,-1.1324,-4.8235,-4.21406,-0.79585
84,-7.54508,-1.4517,-2.8464,-4.22564,-3.8738
85,-7.5346,-1.08915,-3.69591,-4.49677,-2.85706
86,-7.52379,-1.21875,-5.77432,-1.85765,-2.26133
87,-7.47708,-3.57287,-2.58233,-4.87144,-0.96359
88,-7.41842,-0.05158,-6.68924,-0.29267,-0.36438
89,-7.36916,-0.8104,-5.68905,-3.28104,-1.38136
90,-7.36339,-1.40607,-0.09941,-5.80275,-3.18146
91,-7.35776,-4.80138,-0.0378,-4.75608,-0.43388
92,-7.33974,-1.66791,-0.35623,-1.69097,-6.35295
93,-7.33713,-3.34756,-1.74678,-5.14526,-2.33138
94,-7.31303,-3.61142,-4.9223,-2.40392,-1.86262
95,-7.27553,-4.92157,-0.52314,-3.52024,-3.19046
96,-7.27428,-0.14962,-0.29322,-4.80338,-4.88917
97,-7.26979,-3.59304,-0.39405,-5.573,-1.73972
98,-7.23149,-4.02554,-0.42448,-5.56643,-0.579
99,-7.22156,-1.75447,-4.78125,-4.43587,-1.49454
100,-7.15238,-5.01268,-0.93723,-1.55509,-4.51882
101,-7.14836,-2.87977,-1.23286,-4.97347,-3.78847
102,-7.12626,-3.7255,-2.74348,-5.16293,-1.0745
103,-7.1217,-3.49479,-3.41563,-0.836,-4.97015
104,-7.11674,-0.97656,-6.68158,-1.63486,-1.04022
105,-7.11594,-2.97151,-5.8399,-1.33539,-2.15541
106,-7.10324,-1.43344,-4.42336,-5.04912,-1.55871
107,-7.08598,-1.64098,-3.0007,-1.65913,-5.94468
108,-7.0824,-0.47468,-4.74336,-1.20685,-5.0654
109,-7.05543,-4.18294,-3.93227,-3.05616,-2.81444
110,-7.05174,-5.40938,-0.4997,-0.09282,-4.55557
111,-7.02396,-2.32289,-5.49898,-3.8559,-0.40179
112,-7.02287,-1.69829,-3.7675,-4.56487,-3.57254
113,-7.01855,-4.81497,-0.72945,-2.37965,-4.62181
114,-7.01733,-3.36763,-1.56284,-6.00503,-0.95569
115,-7.01484,-0.77035,-3.35794,-5.191,-3.46069
116,-7.01421,-0.58028,-6.17527,-0.29161,-3.49932
117,-6.99629,-1.90343,-0.35441,-4.09258,-5.52757
118,-6.99531,-3.42689,-4.07819,-3.67191,-3.03439
119,-6.99212,-1.35856,-5.69601,-0.97034,-3.98479
120,-6.98622,-0.3115,-6.35503,-2.82587,-1.65036
121,-6.95697,-4.63913,-2.38395,-1.27622,-4.77148
122,-6.94727,-5.16497,-2.69292,-2.67779,-3.26131
123,-6.94724,-0.13815,-1.49821,-3.1584,-6.28463
124,-6.94232,-4.60576,-1.48547,-3.1353,-4.30749
125,-6.93367,-7.01955,-0.80694,-1.04089,-0.95683
126,-6.93286,-0.42251,-5.51737,-2.32409,-3.98925
127,-6.92434,-4.67215,-1.11511,-1.22407,-5.2424
128,-6.90724,-2.62847,-1.81163,-1.36126,-6.34398
129,-6.89679,-2.17498,-2.22136,-4.57479,-4.6734
130,-6.88926,-1.58854,-1.62555,-6.15989,-3.0705
131,-6.88756,-3.9135,-4.54316,-1.50424,-3.78722
132,-6.88425,-2.11461,-0.28675,-3.63891,-5.90013
133,-6.87943,-4.981,-2.15563,-0.7174,-4.76463
134,-6.87516,-4.15686,-1.04588,-5.0074,-3.0471
135,-6.87448,-5.35128,-4.11092,-0.37565,-2.65793
136,-6.8316,-0.78558,-6.86604,-0.23328,-2.34846
137,-6.825,-5.50233,-2.42846,-0.70177,-4.09314
138,-6.80653,-5.93787,-1.30249,-3.54373,-2.0392
139,-6.80123,-1.84261,-6.84054,-1.56906,-1.04553
140,-6.78215,-5.31174,-4.4196,-2.30308,-0.97513
141,-6.76574,-1.03591,-6.6799,-2.83074,-0.71939
142,-6.74346,-3.78143,-5.72375,-0.73932,-2.63035
143,-6.71483,-1.64917,-6.64377,-0.42723,-2.8052
144,-6.69544,-1.76148,-4.68427,-1.72313,-5.21121
145,-6.69322,-4.38224,-2.94349,-5.21875,-0.3118
146,-6.6732,-0.55024,-4.92312,-0.59829,-5.52906
147,-6.65937,-3.03863,-0.77793,-5.23458,-4.29109
148,-6.64348,-4.30696,-0.91112,-3.96135,-4.55981
149,-6.63786,-5.44933,-0.95265,-3.10335,-3.96298
