leaf_index,r0,r1,r2,r3,r4,r5,is_dominated,ground_truth_pareto
0,9.21466,0.21681,1.88184,1.83242,2.79999,0.55142,0,1
1,9.19895,0.72555,2.70763,1.45173,1.48972,1.78742,0,1
2,9.06573,2.77264,2.60668,0.30175,0.30807,1.7732,0,1
3,9.05987,1.59316,1.60102,0.7243,2.75623,2.167,0,1
4,8.94131,2.39445,1.98936,2.72555,1.01774,1.37754,0,1
5,8.85643,1.74399,3.57794,0.85431,1.97212,1.04949,0,1
6,8.75591,4.28967,1.28585,0.93052,1.3155,0.82647,0,1
7,8.61048,1.64008,0.54873,0.47494,4.36221,1.90111,0,1
8,8.59141,0.50014,1.7953,1.2467,0.2868,4.59107,0,1
9,8.57442,1.07265,3.64213,2.48335,2.08377,1.24682,0,1
10,8.55411,1.12679,0.21344,1.34147,1.46719,4.64324,0,1
11,8.48721,1.36397,2.07216,3.02005,3.15211,1.66026,0,1
12,8.45308,1.23245,2.24921,2.17038,2.94697,2.92786,0,1
13,8.42851,3.76378,3.67172,0.10595,0.8213,0.79174,0,1
14,8.3988,0.82825,4.58009,2.19489,0.16211,1.71847,0,1
15,8.34662,0.43276,0.2496,4.74165,0.96715,2.58179,0,1
16,8.3464,1.81886,4.48247,2.3742,0.57428,0.98495,0,1
17,8.34111,1.29398,1.43203,4.90598,1.53381,0.52869,0,1
18,8.30056,0.28398,2.54494,0.12776,3.07487,3.88229,0,1
19,8.22248,2.06981,3.90388,1.3983,0.31376,3.28828,0,1
20,8.21887,1.28331,4.41577,0.56802,2.0423,2.60973,0,1
21,8.06967,0.13347,0.01715,3.86986,4.39582,0.75054,0,1
22,8.05649,3.18444,0.04516,3.3173,3.40982,1.52283,0,1
23,7.97794,1.58758,0.77156,2.77909,3.37169,3.761,0,1
24,7.96766,5.19502,1.05023,2.03225,1.11525,1.74681,0,1
25,7.96374,3.30732,3.14093,0.69022,3.81983,0.84108,0,1
26,7.91011,1.50108,1.89195,3.00564,2.2751,4.16982,0,1
27,7.85416,3.19839,3.08299,0.08206,3.1575,2.93277,0,1
28,7.78285,5.99427,0.11584,1.39013,0.62589,1.07629,0,1
29,7.78166,5.30035,2.5912,1.73484,1.27031,0.12001,0,1
30,7.77124,0.4858,3.00057,2.99174,3.12524,3.41332,0,1
31,7.76426,4.43236,1.10164,3.49133,1.95271,1.68947,0,1
32,7.74487,1.41461,5.99975,1.25195,0.53128,0.41129,0,1
33,7.70643,1.49512,3.3811,5.15785,0.04588,0.58154,0,1
34,7.65091,2.95252,3.014,3.24563,3.3486,1.38373,0,1
35,7.615,4.62758,1.99909,1.66824,2.30352,2.91746,0,1
36,7.59588,0.1805,3.12417,4.5157,3.25355,1.23793,0,1
37,7.57239,2.78377,2.40606,0.58629,3.72489,3.86029,0,1
38,7.54267,0.98787,4.49041,2.42469,1.95841,3.50057,0,1
39,7.49653,4.38231,3.31434,1.14817,2.615,2.33582,0,1
40,7.49116,1.37338,6.11622,1.09892,1.414,1.17523,0,1
41,7.47288,1.49565,4.0307,3.03303,3.57361,1.92421,0,1
42,7.41355,1.82888,1.67183,4.37844,2.53474,3.64745,0,1
43,7.39186,5.30134,1.56588,0.19002,1.51803,3.53039,0,1
44,7.38896,1.61046,1.62099,1.86955,5.97042,1.02023,0,1
45,7.37308,0.61767,1.21164,0.51006,2.20995,6.21643,0,1
46,7.34662,0.26321,0.58675,5.7584,0.87964,3.4177,0,1
47,7.33307,0.71481,5.83937,3.28122,0.36366,0.84752,0,1
48,7.27069,0.13578,6.69299,0.35608,0.50018,1.39484,0,1
49,7.24175,3.65909,4.31483,1.45067,0.67384,3.60442,0,1
50,7.19358,3.90276,2.04399,5.3049,0.33016,0.76946,0,1
51,7.19311,2.47538,3.64682,5.35612,0.21692,0.31187,0,1
52,7.17793,0.6792,3.75103,3.77922,0.8284,4.35626,0,1
53,7.13275,5.09419,0.40511,1.91603,0.29312,4.3877,0,1
54,7.12168,0.14578,6.751,0.44729,0.22953,1.85251,0,1
55,7.11453,5.44737,1.65806,1.64979,3.09917,2.15262,0,1
56,7.10635,4.1106,3.44193,1.05328,0.73824,4.37052,0,1
57,7.09638,0.94271,3.75888,0.70556,5.51767,1.91859,0,1
58,7.05891,4.7175,2.66613,3.94833,0.70004,2.17472,0,1
59,7.02735,3.25696,6.11418,0.96763,1.06868,0.73953,0,1
60,6.96743,4.75247,2.46636,0.72521,1.95821,4.2925,0,1
61,6.94259,0.07506,6.21021,1.55662,2.57729,2.04026,0,1
62,6.9251,6.02407,2.17715,2.54889,1.78052,1.1604,0,1
63,6.91117,4.68877,1.10571,3.17756,3.59628,2.44917,0,1
64,6.88688,0.55809,4.26936,0.46737,0.15168,5.81295,0,1
65,6.8851,5.14724,3.92279,1.03893,1.91902,2.43944,0,1
66,6.87413,2.19058,2.13458,5.99459,2.73052,0.01885,0,1
67,6.86047,2.76915,1.93663,3.4153,3.12326,4.48287,0,1
68,6.85835,3.7084,1.06238,5.15044,3.18695,1.18257,0,1
69,6.83258,0.40632,2.59808,6.09614,1.79653,2.45159,0,1
70,6.82562,2.12925,4.38927,0.48102,5.05378,1.95944,0,1
71,6.8034,3.10707,3.60272,3.81496,4.00082,0.72098,0,1
72,6.80277,2.72074,4.65034,4.82896,1.16325,0.14926,0,1
73,6.78721,0.49788,3.60462,2.36837,5.04764,3.09916,0,1
74,6.77918,3.7503,1.53023,2.8457,3.6974,3.98341,0,1
75,6.77781,0.75605,3.04138,4.12729,4.35968,2.86327,0,1
76,6.72687,4.32293,0.10826,3.06344,1.40208,4.96983,0,1
77,6.7092,2.9815,1.48716,2.8767,4.91481,3.38449,0,1
78,6.6865,3.3161,1.8358,2.18887,1.15365,5.89932,0,1
79,6.66003,1.98065,2.53716,5.89279,3.24147,0.22735,0,1
80,6.65863,1.94484,1.93175,4.61821,2.38082,4.59918,0,1
81,6.62953,1.84865,0.38313,0.0,0.0,1.59861,1,0
82,6.59562,4.58527,1.22937,5.36792,1.41598,1.77261,0,1
83,6.55224,4.42318,4.3833,0.44109,1.04434,4.12372,0,1
84,6.54462,3.85139,0.46963,4.91078,4.16224,0.82108,0,1
85,6.5315,0.0678,3.48363,1.32154,0.31495,6.58434,0,1
86,6.51902,3.24219,1.42809,1.41779,4.23887,4.9973,0,1
87,6.47684,4.8032,0.18219,3.66063,3.80479,2.65895,0,1
88,6.46674,5.76152,3.0867,0.1527,2.53176,3.0042,0,1
89,6.45709,5.07369,1.99831,0.15517,1.88335,4.99994,0,1
90,6.45591,0.48043,0.96935,0.0,0.0,0.0,1,0
91,6.45036,2.58906,5.56957,0.23721,4.1523,1.83621,0,1
92,6.41593,0.88118,5.68591,4.32153,0.52991,2.60256,0,1
93,6.39217,0.30007,1.15665,3.97134,0.83799,6.42172,0,1
94,6.39192,5.67593,3.19652,1.21568,0.22693,3.89616,0,1
95,6.36985,1.79098,6.45044,0.84061,0.45429,3.70083,0,1
96,6.35949,0.40081,0.89238,5.82645,3.08527,3.89017,0,1
97,6.35319,0.33006,0.70126,7.67118,0.43313,0.0414,0,1
98,6.35031,3.21496,3.37356,4.48258,3.99451,1.38096,0,1
99,6.34836,6.20258,0.31694,1.66357,2.04616,3.76452,0,1
100,6.3368,2.67327,2.93072,4.25067,0.13746,5.10121,0,1
101,6.31481,6.42197,0.79178,3.323,1.72154,2.06117,0,1
102,6.31065,1.97831,3.57522,5.68523,3.16398,1.07108,0,1
103,6.30968,0.06284,0.44157,1.69814,7.29002,1.99018,0,1
104,6.28381,4.84923,1.92827,4.65903,2.46374,2.34603,0,1
105,6.28035,4.10331,2.97636,2.22365,2.90522,4.63427,0,1
106,6.26614,3.99013,1.52428,6.07796,1.15057,2.05562,0,1
107,6.25068,1.88484,4.35879,5.79462,1.47697,1.61812,0,1
108,6.24593,6.55846,2.82229,2.96261,0.96201,0.55424,0,1
109,6.24195,1.64809,2.83232,4.56145,4.56303,2.9448,0,1
110,6.22676,4.83792,0.43767,2.08338,5.76868,0.11107,0,1
111,6.19379,5.78007,1.44255,3.31537,2.23591,3.18684,0,1
112,6.17873,0.83445,7.63478,0.77355,0.57361,1.38195,0,1
113,6.16742,4.21421,2.21028,5.04853,2.62822,2.63113,0,1
114,6.16066,5.61603,1.24425,1.5994,2.73782,4.34794,0,1
115,6.14642,5.04868,1.09007,4.45808,3.74464,1.28348,0,1
116,6.13337,6.77173,2.86572,1.21386,2.61498,0.03731,0,1
117,6.12214,1.9177,2.00221,6.61418,0.99158,3.17843,0,1
118,6.1007,6.77122,0.93661,2.17362,3.35813,0.23039,0,1
119,6.09399,5.86412,2.76272,2.57597,3.23788,1.92959,0,1
120,6.08685,1.9197,3.77764,0.2458,1.49009,6.53556,0,1
121,6.07912,6.23693,3.08979,0.67358,3.47228,1.44491,0,1
122,6.06597,0.391,1.56653,7.53239,1.40544,1.37293,0,1
123,6.04712,6.18901,2.38735,2.10164,1.10583,3.7134,0,1
124,6.02715,2.35979,0.34212,7.43743,0.57864,1.52893,0,1
125,6.02248,2.49103,2.3315,1.7438,4.18297,5.61699,0,1
126,6.01417,5.1389,0.61775,5.8127,1.49081,1.01486,0,1
127,6.01368,2.02833,2.68359,2.40916,6.31161,2.62285,0,1
128,5.99629,2.8774,3.8086,1.94271,0.85898,6.06199,0,1
129,5.98094,0.22592,6.25269,1.12277,3.73199,3.14527,0,1
130,5.97007,2.12963,4.4588,0.52684,6.03024,1.81678,0,1
131,5.96362,4.96506,2.20966,5.25298,1.08707,2.47494,0,1
132,5.95555,0.43367,6.0361,0.72207,5.05332,1.36069,0,1
133,5.93948,2.93307,2.14706,1.39662,6.61166,2.41768,0,1
134,5.93494,0.96022,0.0,0.0,1.2341,1.0081,1,0
135,5.93157,0.81587,2.12987,0.59855,5.22055,5.65704,0,1
136,5.931,6.28064,1.71244,1.11292,3.45544,3.04396,0,1
137,5.91695,0.31673,0.80613,4.56371,0.93882,6.52156,0,1
138,5.90635,0.45099,4.82566,4.44424,1.086,4.54906,0,1
139,5.88774,4.20986,1.95824,6.12698,2.21006,1.16304,0,1
140,5.88713,0.0,1.24074,1.58835,3.20046,1.07922,1,0
141,5.86275,3.14966,0.8032,2.19705,7.00961,1.0493,0,1
142,5.84122,1.10133,0.0,0.58107,0.53113,2.75911,1,0
143,5.83638,4.38301,3.99838,2.62438,2.10927,4.40483,0,1
144,5.80175,2.83891,4.09664,2.9689,0.69639,5.67437,0,1
145,5.78033,0.34255,0.6018,4.93657,0.71404,6.42096,0,1
146,5.77638,0.66996,5.32496,4.72193,1.15012,3.76962,0,1
147,5.75801,2.82127,6.89412,2.92747,1.63729,0.32574,0,1
148,5.73273,1.67379,2.23391,0.0,0.0,0.0,1,0
149,5.73016,0.21736,4.72029,6.05337,1.92491,2.1186,0,1
150,5.70231,3.26099,0.39567,4.00844,5.75274,2.74435,0,1
151,5.69847,0.0,2.90558,1.89159,2.26602,0.0,1,0
152,5.69077,1.98521,0.99778,1.87,7.45158,1.91196,0,1
153,5.67457,4.80335,3.69901,4.52146,2.48268,2.10645,0,1
154,5.66829,1.8414,6.41995,1.64351,4.4631,0.8022,0,1
155,5.66273,0.89486,0.96565,6.08314,0.43778,5.38554,0,1
156,5.6376,1.301,3.11481,3.63064,4.91857,4.41009,0,1
157,5.63561,4.83773,6.0888,1.31165,0.34578,2.43369,0,1
158,5.61215,4.23127,1.69622,3.8419,1.60452,5.51256,0,1
159,5.60511,3.25987,4.53384,3.58773,3.48129,3.52265,0,1
160,5.60503,4.47942,0.37583,4.43255,4.74317,2.49641,0,1
161,5.605,3.85375,1.47736,1.3642,2.58262,6.55889,0,1
162,5.58307,4.53559,2.4409,3.53525,1.48728,5.25259,0,1
163,5.55052,2.35758,7.67106,1.33643,1.67222,0.45389,0,1
164,5.53614,0.86596,4.60973,6.01113,3.32626,0.39231,0,1
165,5.5037,5.37538,0.4829,1.88699,2.55563,5.52172,0,1
166,5.49908,6.26677,2.71884,1.94189,4.2788,1.00825,0,1
167,5.49671,0.76563,3.44747,7.49808,0.11872,1.03906,0,1
168,5.49409,0.0,0.0,0.0,0.03313,5.2083,1,0
169,5.49398,0.64381,3.56615,1.55995,0.44711,7.35193,0,1
170,5.49198,4.74984,3.44241,3.57497,3.14622,3.57041,0,1
171,5.47689,6.36322,3.54403,3.17006,2.50919,0.77949,0,1
172,5.47558,0.91979,1.72287,4.63826,1.79762,6.43886,0,1
173,5.46083,0.0,3.06207,0.0,0.0,0.0,1,0
174,5.45667,1.55681,0.36694,4.45427,5.44988,4.25732,0,1
175,5.45594,5.80574,4.13853,0.57015,4.13067,1.41819,0,1
176,5.42698,2.6622,4.3787,2.96091,0.03086,5.95983,0,1
177,5.42277,6.34099,0.82412,2.50579,4.67901,1.23858,0,1
178,5.41806,3.57017,5.89169,1.156,4.17684,2.09861,0,1
179,5.41258,5.70601,3.81545,1.6955,1.30433,4.36024,0,1
180,5.39874,0.77334,5.67372,1.78856,5.88075,0.53142,0,1
181,5.38915,1.39778,6.76911,1.90577,4.38791,0.54473,0,1
182,5.31122,7.32662,1.2384,3.37741,0.46444,2.22607,0,1
183,5.30765,5.3809,3.37047,2.54304,4.07563,2.90464,0,1
184,5.28281,1.32968,0.0,1.59282,1.20308,0.0,1,0
185,5.26729,3.42634,3.91714,6.16732,1.79253,1.98062,0,1
186,5.26585,2.60389,3.84486,5.5717,3.05597,3.21324,0,1
187,5.25974,2.68737,3.96027,0.91092,6.8969,1.01611,0,1
188,5.25868,0.29887,1.10664,4.07626,7.31852,0.92506,0,1
189,5.25746,1.32461,1.5613,5.77719,4.91863,3.25547,0,1
190,5.25026,0.91964,1.12852,6.97226,4.28389,1.83065,0,1
191,5.24711,1.73504,2.13227,3.32832,0.98981,7.27004,0,1
192,5.22464,5.96052,2.657,5.21283,1.67447,0.37186,0,1
193,5.2243,5.87385,1.29046,5.61092,2.09907,0.80671,0,1
194,5.21107,5.43349,0.63973,4.91922,2.90779,3.20293,0,1
195,5.20466,6.40146,3.73484,4.22204,0.15813,0.36477,0,1
196,5.20409,0.66859,7.22774,0.66336,2.85533,3.41133,0,1
197,5.19614,1.3371,0.35129,7.18564,4.41066,0.03967,0,1
198,5.1687,4.25918,3.5146,0.58753,1.46222,6.34887,0,1
199,5.13117,6.91427,0.46449,0.29334,4.98123,0.86572,0,1
200,5.1296,6.79398,1.61767,3.31058,0.92824,3.6181,0,1
201,5.12105,5.68384,3.0316,1.57352,3.56026,4.13846,0,1
202,5.10145,2.1415,3.74757,3.12556,0.17316,6.74876,0,1
203,5.0953,1.23759,3.27177,6.31236,1.27528,4.50883,0,1
204,5.0447,2.63233,1.53756,0.05772,7.33509,3.38391,0,1
205,5.0364,5.58242,0.18722,5.43752,1.73159,3.29715,0,1
206,5.02164,6.56285,2.50051,1.03717,3.6452,3.33113,0,1
207,5.0201,6.35899,4.28461,3.55878,0.76103,1.66126,0,1
208,5.01782,3.66074,4.40953,2.68734,2.36395,5.4006,0,1
209,5.01755,5.52389,4.93641,2.85565,2.92212,1.80253,0,1
210,5.01379,1.49597,1.62213,7.95904,2.43557,0.84523,0,1
211,5.00954,8.32851,0.10232,1.35873,1.41244,1.29956,0,1
212,5.00547,6.07563,2.59952,4.31356,1.77786,3.08334,0,1
213,4.99419,0.27594,5.08314,4.72842,4.41164,2.70611,0,1
214,4.99083,3.95887,2.905,2.39857,5.55109,3.79635,0,1
215,4.98751,2.03572,2.79206,5.66276,1.49029,5.3756,0,1
216,4.98623,4.80525,1.38735,3.17553,6.30171,0.57169,0,1
217,4.97858,3.39379,7.044,1.37329,0.72584,3.41544,0,1
218,4.96681,2.21182,6.09615,2.26533,4.59143,2.65756,0,1
219,4.9649,4.32006,1.33749,3.6412,2.67144,5.87393,0,1
220,4.94886,3.76738,4.16764,0.82484,3.4722,5.58658,0,1
221,4.9388,2.85741,6.48731,0.94601,4.73411,1.43235,0,1
222,4.9012,0.37654,7.32831,2.71938,3.79532,0.57693,0,1
223,4.85929,3.05409,0.88327,4.56618,6.07074,2.92845,0,1
224,4.84976,1.3798,5.62113,1.27975,2.11008,6.07361,0,1
225,4.84366,0.0,1.56885,1.50788,0.06573,0.0,1,0
226,4.828,1.5699,4.60712,0.0,0.34775,0.0,1,0
227,4.82147,0.32941,5.50201,3.63747,2.94739,4.94514,0,1
228,4.77529,3.54969,1.48039,4.77574,1.00062,6.21255,0,1
229,4.76073,1.93825,1.63815,3.48996,7.27981,2.39157,0,1
230,4.75705,1.6074,7.87913,0.322,2.85582,2.10872,0,1
231,4.74658,6.40578,5.52742,1.50001,0.04012,1.90578,0,1
232,4.74136,1.38629,4.12975,7.44394,1.75433,0.23026,0,1
233,4.72542,2.33513,7.16114,2.10334,3.61398,1.85761,0,1
234,4.72446,0.17906,0.28815,3.61441,7.85784,1.65978,0,1
235,4.70638,0.0755,0.06126,0.53274,3.52681,8.06959,0,1
236,4.69826,3.80109,2.226,6.8072,2.12925,2.76609,0,1
237,4.6895,4.99526,3.2632,2.45867,3.30006,5.04698,0,1
238,4.68573,4.94241,4.61074,1.21841,5.25016,1.81903,0,1
239,4.6784,1.5383,5.66072,3.53254,5.41135,1.39312,0,1
240,4.67454,6.82163,0.97017,2.3166,4.99133,0.62674,0,1
241,4.67126,3.15984,0.0,0.43094,0.0,2.03068,1,0
242,4.64784,0.03441,3.41484,2.10982,7.80692,1.15584,0,1
243,4.62904,5.53801,2.04013,5.19583,0.07011,4.0913,0,1
244,4.62818,2.15922,7.55693,0.78777,4.02314,0.06503,0,1
245,4.6231,1.75208,0.39571,8.07284,1.71385,2.70049,0,1
246,4.61574,1.13328,0.12958,0.67708,6.91816,5.39207,0,1
247,4.61477,5.13687,6.81564,1.82419,0.10116,1.58921,0,1
248,4.61048,6.67681,0.15419,2.43722,1.64944,5.04769,0,1
249,4.59014,5.24413,1.04315,0.83349,3.11011,6.3225,0,1
250,4.57407,7.53975,4.10085,1.11816,0.93598,1.81293,0,1
251,4.56629,1.28374,4.31762,2.93256,0.21506,7.08611,0,1
252,4.56559,5.95406,3.20937,1.31742,0.84211,5.56415,0,1
253,4.54362,6.38559,2.36712,0.03664,5.71381,0.57237,0,1
254,4.53376,2.60405,6.40367,0.73493,5.32773,1.65292,0,1
255,4.521,0.29597,6.34578,0.0,0.0,0.0,1,0
256,4.52063,4.19745,3.14005,2.17254,6.13484,3.11916,0,1
257,4.51827,0.0,0.72588,2.84566,0.44236,1.75055,1,0
258,4.51671,2.73789,3.73392,5.4698,4.7765,2.32967,0,1
259,4.51219,1.36328,1.97995,8.28834,2.08731,0.8989,0,1
260,4.50952,6.69243,4.48378,3.61658,0.22189,1.28159,0,1
261,4.49523,3.55511,0.05976,7.73193,1.77626,2.05245,0,1
262,4.46712,1.39877,0.79303,6.51589,2.87954,5.16825,0,1
263,4.46261,4.58462,3.48794,2.96129,2.32805,5.7194,0,1
264,4.45679,5.68488,5.17285,2.81094,2.73884,2.37867,0,1
265,4.44708,5.29516,3.51579,0.85676,5.26345,3.37432,0,1
266,4.43596,7.01996,1.11597,5.33338,0.85496,0.78816,0,1
267,4.41971,1.70104,3.99471,1.31193,1.48961,7.5944,0,1
268,4.41431,5.93667,5.40095,3.56611,1.54522,0.99731,0,1
269,4.39579,4.95444,3.10032,3.12876,5.51042,2.52283,0,1
270,4.35577,4.55047,3.93537,5.89689,2.16405,2.3188,0,1
271,4.35331,2.33832,3.29577,2.757,6.42086,3.98628,0,1
272,4.35123,3.35203,5.29132,2.89627,1.41423,5.60751,0,1
273,4.3446,5.64543,5.64063,3.58566,1.2656,1.72573,0,1
274,4.32903,1.19886,3.36152,2.81352,6.91913,3.56821,0,1
275,4.32731,3.63833,5.1282,5.2308,3.75201,0.54745,0,1
276,4.30853,2.37846,4.70681,3.67897,5.99884,2.02597,0,1
277,4.29073,0.0,0.0,1.26439,2.27119,0.0,1,0
278,4.28111,2.73377,5.28952,3.10002,5.08568,3.278,0,1
279,4.27716,1.07216,0.56876,0.93275,0.19347,8.90648,0,1
280,4.27303,1.28906,0.70125,1.49037,7.57373,4.47271,0,1
281,4.27081,4.13179,0.0,0.0,2.00649,0.0,1,0
282,4.2644,2.34791,6.71273,5.28459,0.90599,1.57914,0,1
283,4.26028,0.72028,8.93596,0.61641,1.04863,0.01494,0,1
284,4.25709,0.0,2.3392,0.0,2.04892,2.14644,1,0
285,4.25612,1.22652,0.99614,1.43288,8.28445,2.95017,0,1
286,4.24179,5.2981,0.20281,1.94752,2.86785,6.47138,0,1
287,4.24099,5.88358,2.62267,3.10959,2.6721,4.86924,0,1
288,4.22546,3.62814,3.51232,1.78206,0.27576,7.30712,0,1
289,4.21764,6.48001,0.3545,0.15662,1.72861,6.08956,0,1
290,4.21498,1.44154,2.13648,1.21455,5.9742,6.1988,0,1
291,4.20699,5.45766,4.09984,5.82131,1.03487,0.86481,0,1
292,4.19358,1.51931,0.51216,1.35756,6.93697,5.46614,0,1
293,4.19063,0.26648,0.89718,5.60815,0.26064,7.07413,0,1
294,4.19031,6.73837,3.10527,4.08645,2.27833,2.34586,0,1
295,4.18632,5.80109,0.35379,0.71955,2.27144,6.55894,0,1
296,4.18152,5.41487,4.84905,3.13765,4.45016,0.17913,0,1
297,4.1719,2.75333,0.9251,5.35359,6.66463,1.03941,0,1
298,4.16512,2.7365,2.71759,3.90862,3.53238,6.32637,0,1
299,4.14137,0.8078,1.99037,2.26898,7.17692,4.64526,0,1
300,4.13603,0.5567,0.11653,6.08479,6.73836,0.37368,0,1
301,4.13596,1.26243,3.39335,3.6354,5.13914,5.49167,0,1
302,4.12719,0.89005,4.23786,7.94661,0.22158,1.00844,0,1
303,4.12098,3.3879,5.12139,3.51597,3.97093,4.14496,0,1
304,4.10945,1.97373,4.96118,3.74586,6.19962,1.46178,0,1
305,4.09657,1.38984,2.72179,7.72363,0.97839,3.64233,0,1
306,4.08927,0.0,0.0,2.93545,0.0,5.60873,1,0
307,4.08799,3.81804,0.77256,1.11197,7.37303,3.53779,0,1
308,4.08129,4.25069,1.79524,1.40171,1.96039,7.49959,0,1
309,4.05832,6.0067,3.35453,2.50348,4.98006,2.26457,0,1
310,4.05226,4.25449,2.51768,4.21499,6.36984,0.89375,0,1
311,4.03468,0.90697,3.80906,1.27326,7.67697,2.79871,0,1
312,4.03437,2.63841,1.1669,2.02656,2.23164,8.14333,0,1
313,4.0034,1.54109,0.49073,4.98816,1.50953,7.36183,0,1
314,3.99551,3.93895,1.04836,1.21881,7.59791,2.86491,0,1
315,3.99336,0.98229,0.0,1.14325,4.37696,0.91609,1,0
316,3.99297,1.73014,5.05235,5.03827,2.0232,5.10481,0,1
317,3.98714,8.56312,1.31425,2.97431,0.44946,0.00071,0,1
318,3.98662,1.4687,2.64287,0.36957,7.52185,4.27204,0,1
319,3.96444,7.22274,1.12166,1.36757,3.53741,4.05876,0,1
320,3.96073,0.32183,2.83505,4.31382,7.40827,1.63712,0,1
321,3.951,2.91255,1.43891,5.48514,5.72677,3.30963,0,1
322,3.94658,0.0,2.67072,4.87154,0.63402,0.0,1,0
323,3.93276,6.52992,0.39998,3.41481,0.29037,5.47616,0,1
324,3.92965,4.10609,0.66429,4.87697,6.55823,0.67921,0,1
325,3.92935,3.60513,6.66593,2.9892,4.25774,0.25473,0,1
326,3.91793,2.65736,8.41785,1.54976,1.27497,1.64341,0,1
327,3.91192,6.25801,4.04422,0.86153,5.32853,0.20738,0,1
328,3.9041,5.92521,2.81639,2.23442,2.72952,5.41063,0,1
329,3.88183,1.11759,7.98046,2.12301,1.71348,3.5428,0,1
330,3.87427,8.05046,2.60343,2.72014,1.34335,2.04902,0,1
331,3.8734,1.19354,1.82048,8.21702,2.07051,2.90718,0,1
332,3.87242,1.30428,6.64179,2.68091,1.43237,5.47274,0,1
333,3.8619,0.15472,6.74262,2.42757,5.70774,1.06185,0,1
334,3.85118,2.94995,3.7675,6.82469,3.83572,0.99145,0,1
335,3.85014,3.60805,2.50094,6.27634,4.55708,2.39673,0,1
336,3.84028,4.24653,1.04482,4.36085,0.05901,6.86346,0,1
337,3.8383,1.76404,3.92758,4.40845,1.77838,6.64324,0,1
338,3.8255,5.02702,5.16804,4.06277,0.76284,4.03708,0,1
339,3.8113,0.37938,1.62306,3.54394,8.18021,1.79458,0,1
340,3.81049,1.19847,0.93597,1.37291,9.00181,0.50029,0,1
341,3.808,6.93603,6.10105,0.09539,0.10131,0.3854,0,1
