leaf_index,r0,r1,r2,r3,r4,r5,r6,r7
0,-1.6769553253574827,-3.986921140467846,-1.603453593436953,-6.323600759225024,-4.393260388705807,-2.1660429887072743,-2.6055780564654847,-2.819889109137925
1,-2.8134992256369444,-2.269896350442865,-0.21934176797095317,-4.219125146531127,-5.683406163418936,-1.2572180925433287,-3.7206391023565426,-4.621450699913116
2,-0.21145671586242293,-1.5568646280771126,-4.162412470973692,-1.3691374902924225,-0.043344093793686374,-1.467144845314568,-6.888820902450678,-5.3591974592914715
3,-6.586728955903638,-4.589329611129135,-0.4246062006075887,-1.0257053313512416,-0.5190424877769984,-0.5279804021060225,-5.145257785195526,-2.701637918795954
4,-1.3191637900489384,-7.136426384933059,-2.259258112058644,-2.316413116450863,-1.7956822091516615,-5.757553654314483,-0.585038393344579,-0.38084091721547114
5,-6.918300835425456,-3.8511913257771004,-0.40609362889833195,-5.3253472958203805,-0.5539251743931588,-0.5382158333677616,-0.20059142175155853,-2.8538494644397163
6,-2.7601061554574136,-4.142692015246089,-1.4915002211943063,-3.8036372571428885,-3.4011697352663113,-2.3310015599727922,-4.086879182401337,-4.982326995635845
7,-4.1901904247143325,-0.0919329803505675,-5.721906291717542,-1.4383222900265586,-0.2479026581687299,-1.249960253797011,-4.500495219855611,-5.074106455586987
8,-0.870104414815584,-2.034831539635203,-1.026705173778755,-3.3111848910326414,-7.188017759138208,-1.1090249334510864,-5.338944445458531,-1.2970915988327016
9,-3.7739024556032823,-3.5012873291817392,-1.1796561749824266,-4.169850161353367,-1.60679203705643,-6.89706097740417,-0.5120404882566593,-2.0750884310786826
10,-3.0695891080227544,-0.7666129498823292,-6.4567047965706434,-4.731777186088575,-3.499014377416744,-2.69126168208035,-2.5347912789347182,-0.00415229666354672
11,-1.626088128367312,-1.7094073993889303,-3.197781871479192,-0.9360255562459197,-0.34606909436757394,-0.9446470995309421,-3.852856211970564,-8.214328216679805
12,-0.7118287286781582,-0.16941593876575983,-7.317456708356513,-1.7085985768724086,-3.343546559026235,-4.427619224231917,-0.6447646597871698,-3.435299007580521
13,-4.237326042082265,-1.331259799232034,-3.044456229563923,-5.264548910876087,-6.095663259341494,-0.3869087932800688,-2.393805219879746,-0.5015116897702537
14,-1.103729073261483,-4.913680863065041,-0.1956390003889645,-0.07928378715420431,-4.120458341094158,-2.707655608248893,-5.961552832130747,-3.8396971192461002
15,-3.364613935148428,-3.3662665606603994,-5.445045592974241,-1.3619711032749402,-5.625356960003042,-2.2098843724522945,-2.761339190633505,-1.3003506148221744
16,-5.480522642988851,-3.298695020372125,-2.269319214756983,-3.4680321220694443,-2.642097925328386,-1.8114714968266066,-1.1507906232546645,-5.506268857827163
17,-1.3525327193949808,-4.019202965735512,-0.02755162011214837,-4.752786265053773,-4.621807489306086,-6.161434461368058,-0.22491398494315734,-0.22794955488342805
18,-2.887424170898851,-2.3755741220680866,-1.2899932795947466,-2.399799284715895,-1.5941276073218158,-6.543779211512848,-4.703894898922554,-3.332775654313396
19,-3.2278346592726406,-2.752241809089349,-1.1936757172867083,-4.973734360819191,-3.5929468492804157,-0.48926125635079526,-6.534117128675961,-0.00478922632945667
20,-3.618594941947104,-0.9520016349196601,-2.5316424668715554,-0.9312761671979163,-2.816429711124388,-2.6696282598083325,-7.934471287823088,-0.8413968582104163
21,-3.001675147789631,-0.6383223444017625,-0.36734195235469624,-0.5509600558094198,-0.1521475423036409,-0.8814657879134822,-8.466008774534494,-4.203636332788105
22,-1.5799629613371722,-3.2250228727829806,-1.753183165428954,-3.6213399922777088,-1.355338424270351,-0.4430282747661356,-2.5626812607726674,-7.893962149564349
23,-3.363698080324737,-4.353542476729132,-2.9792000903475864,-0.33237042453448173,-5.941033693241154,-0.6443808251708829,-1.754232306776228,-4.685900220031429
24,-2.6100114814989017,-7.3548322206747745,-0.11312550097614685,-4.387661261016631,-3.0100856211877423,-0.45601634032145466,-1.4876449502693432,-2.889335651008323
25,-4.845578327995044,-5.353457586413128,-2.8217819751671374,-0.9880086411416584,-1.7843391491767453,-0.062463403235872364,-3.354102874804214,-4.948178854547725
26,-5.209786757569759,-1.5915870288895408,-2.6957019868572294,-3.4809372345960305,-1.2864146559891998,-3.029824067033318,-0.717413095562316,-6.292206397041965
27,-4.128308622806653,-1.9500938328348387,-3.145574082730071,-0.5343379024480107,-2.762669777870462,-7.099483582927722,-3.046321581798361,-1.28800699862794
28,-3.0534407938238135,-2.4183619549925477,-5.808005823751227,-2.3828572717921763,-5.247757320913415,-3.4258307645642723,-1.650064789756516,-1.8490800982560476
29,-1.346509489128309,-6.79545197487877,-1.4151568524422,-0.8735110603925084,-4.753098215254797,-2.5923712923913818,-2.3594169716017483,-3.7899702051343125
30,-0.3180195683477386,-0.5928827748663081,-0.6731214746347807,-5.3343310546834175,-6.020269081036033,-2.002045430643486,-5.114782745877915,-2.055807626425922
31,-2.7623890343476902,-2.529242031534312,-2.644080283008869,-0.4651189281552343,-1.9135070617426249,-5.813195406125281,-5.284444733620669,-3.658488644329113
32,-3.4642727576083416,-0.30684749356256064,-1.772757465051706,-0.9125043733482523,-3.4357226288861655,-2.468826022454103,-7.012014745602792,-4.106297956916039
33,-0.1974865723324381,-6.800893145329908,-0.1398807429549494,-0.2741380748906638,-4.490790980241092,-4.570991861786835,-3.127507433953753,-1.6648303802569364
34,-5.366270695005548,-6.769170168471539,-1.525555210804226,-1.5936484700690923,-1.8803352006198457,-0.0869757528457358,-3.885513151504501,-1.368942004632259
35,-5.146045545813652,-2.706925436272716,-1.694138206402884,-2.9237358891662013,-5.467320254641993,-2.6373930075147243,-1.1990013900233396,-4.0604676004980895
36,-6.578760145563356,-1.0661623807413605,-4.13704856772535,-4.732439346572351,-0.6809150233025419,-3.695955435639624,-0.636192968074714,-1.242411510134101
37,-3.3569484276431476,-2.86411731724346,-7.651530460532731,-1.3277223373852765,-2.5414000900481866,-0.6766927227900446,-2.063391220265347,-3.007449661576431
38,-0.5980213580148931,-1.2589211282758648,-6.226604320526996,-0.000872592909448853,-1.4017018089852031,-4.119794471099286,-1.3014956273034128,-6.2173564003531485
39,-2.253237607072519,-2.878727734008508,-1.3044004588195792,-0.40854734664957065,-4.990567015559644,-0.12498436977356675,-5.938482477817509,-4.9578746514283765
40,-0.4384071306650961,-3.4746844072642578,-4.916504895425055,-2.0807827727924573,-1.2074482800298068,-5.653559145417491,-4.978517350029501,-1.013110437801713
41,-2.3616904700766335,-4.259216317170092,-5.160102692169078,-0.07265419479999657,-2.1477160158854556,-6.054915636470557,-2.8906111916837425,-0.1386922859960232
42,-1.4233160780180953,-4.699734927345964,-6.698150899153294,-0.766321475022857,-3.227761714099116,-1.7390925804001327,-3.8567821940288702,-1.4548303356217538
43,-0.9088665003497992,-2.75039608914628,-0.33530598773362924,-3.554304403745184,-2.48151516583406,-3.9652747728369704,-0.024655077510630022,-7.548631910634506
44,-4.1472391257138925,-2.0461755203417256,-4.293496781082904,-1.6547781307183629,-4.071014496395064,-5.215935121961955,-2.801979385955129,-2.410589429441813
45,-2.896928912943095,-4.320118857448026,-3.161719819848852,-0.2200753097710478,-0.16734410671749478,-5.110648319517179,-3.052466931122435,-5.237860814134675
46,-1.248455068458947,-2.032765751350564,-5.794205356101875,-4.581084697411432,-1.463285969303488,-3.6377272021427745,-3.696927104843387,-3.272389888895093
47,-2.236739327164327,-4.405324188811023,-2.892507142544905,-2.3364248445011317,-0.5059127020621256,-6.569643516702628,-0.006568305470200185,-4.283506812043159
48,-4.451094297755232,-0.9111913623774294,-0.4766162447873621,-5.61419181039006,-2.8566728788565907,-3.7050801747638444,-3.361136968848669,-3.7981227420120955
49,-0.5334376891622857,-1.2310976816604113,-0.9259822341832081,-8.098589121142183,-0.9018046729229435,-1.1208016383954058,-4.135452089216485,-3.5473711274612434
