leaf_index,r0,r1,is_dominated,ground_truth_pareto
0,9.99999,0.01633,0,1
1,9.99999,0.01588,0,0
2,9.99999,0.0118,0,0
3,9.99997,0.02638,0,1
4,9.99989,0.04766,0,1
5,9.99976,0.06911,0,1
6,9.99976,0.06903,0,0
7,9.9996,0.08927,0,1
8,9.9995,0.09959,0,1
9,9.99947,0.10275,0,1
10,9.99946,0.1038,0,1
11,9.99942,0.10811,0,1
12,9.99932,0.11674,0,1
13,9.99899,0.14247,0,1
14,9.99898,0.14268,0,1
15,9.9988,0.15475,0,1
16,9.99878,0.15633,0,1
17,9.99872,0.15984,0,1
18,9.99871,0.16039,0,1
19,9.99863,0.16537,0,1
20,9.99847,0.17514,0,1
21,9.99846,0.17534,0,1
22,9.99826,0.18671,0,1
23,9.99825,0.18701,0,1
24,9.99791,0.20465,0,1
25,9.99766,0.21612,0,1
26,9.99723,0.23522,0,1
27,9.99718,0.23756,0,1
28,9.99703,0.24359,0,1
29,9.99662,0.25984,0,1
30,9.99646,0.26608,0,1
31,9.99584,0.28843,0,1
32,9.99438,0.33507,0,1
33,9.99415,0.34193,0,1
34,9.99359,0.35804,0,1
35,9.99323,0.36784,0,1
36,9.99322,0.36812,0,1
37,9.993,0.37418,0,1
38,9.99299,0.37426,0,1
39,9.99283,0.3786,0,1
40,9.99281,0.37906,0,1
41,9.99222,0.3943,0,1
42,9.99198,0.40031,0,1
43,9.99193,0.40162,0,1
44,9.99172,0.40689,0,1
45,9.99166,0.40834,0,1
46,9.99094,0.42551,0,1
47,9.99087,0.42713,0,1
48,9.989,0.46892,0,1
49,9.98764,0.49698,0,1
50,9.98742,0.50139,0,1
51,9.98659,0.51779,0,1
52,9.98653,0.51882,0,1
53,9.98588,0.53126,0,1
54,9.9857,0.53452,0,1
55,9.98558,0.53677,0,1
56,9.98477,0.55168,0,1
57,9.98459,0.55491,0,1
58,9.98389,0.56743,0,1
59,9.9802,0.629,0,1
60,9.97929,0.64325,0,1
61,9.9789,0.6493,0,1
62,9.97812,0.66111,0,1
63,9.97674,0.68162,0,1
