leaf_index,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13
0,-7.78083,-0.47978,-0.28466,-2.30567,-0.87199,-0.32779,-2.54333,-3.45347,-0.10577,-0.68159,-2.10573,-3.00687,-0.34287,-0.707
1,-7.61774,-1.95849,-1.74147,-0.53428,-3.11306,-0.51024,-0.19214,-2.84198,-1.06955,-1.74803,-1.46517,-1.11178,-2.99535,-0.44324
2,-7.42188,-2.49952,-0.59598,-2.25186,-0.52551,-1.77357,-0.97885,-1.20205,-0.29798,-1.34039,-1.55643,-4.71032,-0.35511,-0.89225
3,-7.3646,-0.78446,-0.96586,-2.64565,-1.1992,-0.48418,-2.70205,-0.22978,-4.49038,-0.34694,-0.47535,-2.11528,-1.78715,-0.10225
4,-7.33707,-0.23128,-0.91649,-0.44196,-1.8552,-1.16301,-0.10591,-1.83483,-0.78866,-2.55377,-2.77342,-2.88012,-2.44678,-2.7909
5,-7.2169,-1.26929,-3.36684,-2.32253,-1.60556,-2.76448,-0.06357,-0.85973,-2.75815,-2.25641,-0.4544,-0.0809,-2.30072,-0.63799
6,-7.19909,-1.42761,-2.53951,-1.69974,-2.48675,-0.83087,-3.99956,-0.91698,-0.77201,-1.13281,-0.79617,-0.54839,-1.73949,-2.69175
7,-7.15794,-1.1003,-0.72585,-2.7135,-0.61031,-0.90565,-2.04215,-2.2455,-1.55556,-3.25275,-3.32283,-0.44158,-1.7151,-1.44223
8,-7.15104,-4.16547,-0.66033,-2.12094,-1.58961,-0.61582,-3.4516,-0.47071,-2.77551,-1.08805,-0.12067,-0.58809,-1.48599,-0.28286
9,-7.13012,-1.20835,-1.09239,-0.52398,-0.48105,-0.45599,-2.01235,-2.68267,-0.13763,-0.72725,-0.07194,-1.03157,-4.21728,-3.89169
10,-7.11961,-0.55831,-0.99768,-4.10476,-1.2117,-1.07724,-0.55318,-3.21688,-0.98763,-2.81573,-0.66626,-2.61203,-0.01995,-1.30429
11,-7.09881,-0.80393,-0.0153,-0.4266,-2.439,-2.93594,-0.91992,-2.40732,-0.07098,-0.90455,-1.88701,-3.93111,-2.75777,-0.35415
12,-7.0931,-0.89636,-0.40502,-1.07729,-1.24962,-1.23134,-0.6278,-0.81491,-2.37181,-4.86158,-1.54381,-2.76619,-1.30696,-1.55567
13,-7.08947,-0.17809,-0.48715,-2.70452,-0.4804,-0.54167,-0.82085,-1.83163,-1.9243,-0.64854,-4.25974,-3.34514,-0.5382,-1.96328
14,-7.06182,-3.52639,-2.59673,-1.20052,-0.47213,-0.85385,-0.73596,-0.62214,-2.4771,-0.04942,-1.11783,-0.24643,-0.81344,-4.41814
15,-7.01152,-2.90396,-0.67888,-0.21937,-1.10024,-1.64846,-1.01575,-0.2504,-1.03935,-0.33839,-5.60219,-1.7521,-0.97979,-0.51474
16,-6.99204,-3.52687,-2.48142,-0.18671,-3.33615,-0.84032,-0.52984,-2.26508,-2.09371,-1.13988,-0.75449,-2.26674,-1.62966,-1.08941
17,-6.97398,-1.31469,-1.7015,-4.07244,-0.44576,-0.29349,-2.95888,-2.34916,-1.33797,-0.78101,-3.09968,-1.03457,-1.55012,-0.34006
18,-6.89281,-0.89574,-4.07469,-0.69946,-0.85621,-2.82294,-2.76728,-0.3197,-1.81823,-0.09893,-1.60466,-2.23514,-0.34145,-2.67008
19,-6.81787,-0.82923,-0.51804,-0.66706,-1.88335,-2.27211,-1.6204,-2.9331,-2.41487,-1.75244,-3.2001,-0.59581,-3.14609,-1.66773
