leaf_index,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
0,-9.28177,-1.42152,-1.5069,-2.04167,-0.05515,-0.76185,-0.42515,-0.90169,-1.40025,-0.01394,-1.36041
1,-9.26349,-0.0077,-1.85526,-0.79456,-2.1002,-0.76551,-0.4512,-1.36154,-1.10931,-0.72612,-1.14121
2,-8.61752,-1.15856,-2.62167,-1.02215,-0.0176,-1.99271,-1.61567,-0.68547,-0.76625,-0.4722,-2.93541
3,-8.56089,-0.15106,-0.74914,-0.75435,-1.87321,-2.30733,-0.27252,-2.60651,-2.62233,-0.76262,-1.54887
4,-8.50541,-1.28497,-1.90266,-1.50361,-3.23945,-0.39292,-0.76613,-1.47712,-0.9392,-1.62582,-1.78417
5,-8.50166,-0.75825,-3.73226,-2.42736,-0.88705,-0.3719,-1.59841,-0.96558,-1.50251,-0.66971,-0.45453
6,-8.4886,-0.37063,-3.2025,-1.40343,-3.36516,-0.22279,-0.65643,-0.56571,-1.25321,-1.37223,-0.04775
7,-8.41686,-0.2743,-2.25278,-0.64971,-1.01342,-3.46086,-2.63353,-1.16608,-0.87257,-0.76013,-0.97214
8,-8.38638,-0.14855,-1.34238,-1.61104,-2.48833,-0.47209,-0.89877,-1.0101,-2.71567,-3.09924,-0.16184
9,-8.35969,-0.05479,-0.90309,-0.39841,-0.40074,-4.72729,-0.97448,-1.37267,-1.80598,-0.51655,-0.51796
10,-8.35753,-4.03526,-0.91715,-1.23444,-0.49425,-1.82819,-0.46007,-0.03564,-1.47451,-1.19716,-2.02399
11,-8.35421,-2.02673,-0.5401,-0.87074,-0.43472,-2.04389,-2.10515,-2.13473,-2.75843,-1.03298,-1.73738
12,-8.30972,-1.08483,-0.79554,-0.18415,-2.49898,-1.26971,-3.09791,-2.63479,-0.71073,-2.04023,-0.20245
13,-8.2654,-2.82237,-3.2697,-1.16365,-0.20553,-0.68761,-0.30608,-0.35313,-1.37091,-2.99948,-0.25027
14,-8.24571,-0.40818,-3.6567,-1.27588,-1.49756,-2.36568,-1.14886,-0.79982,-2.40376,-0.71093,-0.87183
15,-8.2413,-3.04991,-2.29772,-0.19012,-2.18194,-1.10808,-1.98788,-1.98389,-1.15602,-0.27332,-1.47512
16,-8.21044,-0.29981,-0.78735,-4.42629,-0.16873,-1.48289,-1.36413,-0.55541,-1.47873,-1.92883,-1.40817
17,-8.19837,-0.5574,-1.34362,-1.39181,-1.91892,-1.33121,-2.70931,-2.77046,-0.96476,-1.25551,-2.39924
18,-8.17152,-0.01964,-1.44597,-0.12571,-2.77625,-0.10546,-2.26884,-3.42969,-0.27757,-1.86479,-1.71339
19,-8.14966,-0.6252,-0.25993,-1.27648,-0.68699,-1.5774,-2.87577,-0.44076,-1.8338,-4.03941,-0.62534
20,-8.13191,-0.46681,-2.18434,-0.8773,-3.52901,-3.35901,-0.33953,-1.54517,-0.51975,-1.23724,-0.26947
21,-8.12181,-0.08771,-1.02336,-4.82671,-1.3512,-0.10421,-1.08711,-1.7054,-0.50937,-0.60432,-1.76991
22,-8.10275,-1.74192,-0.80603,-0.83631,-2.8781,-2.92129,-1.54284,-1.5772,-2.17181,-1.65215,-0.91125
23,-8.07805,-1.79968,-2.31061,-0.30045,-1.63167,-0.29895,-1.78784,-2.17581,-1.40891,-3.61062,-0.61087
24,-8.05207,-3.60725,-0.51689,-1.78724,-0.95756,-3.39191,-0.48532,-0.48614,-0.4784,-1.4551,-1.85753
25,-8.04633,-1.52617,-1.92676,-1.79291,-1.12738,-0.49567,-0.29757,-2.18616,-4.05228,-0.1905,-1.77726
26,-8.04602,-2.10679,-0.71665,-0.65735,-4.16958,-1.2346,-0.41444,-2.32533,-1.18594,-1.88276,-0.66141
27,-8.03972,-2.93392,-0.71693,-1.30873,-1.68533,-1.88884,-0.05674,-1.74135,-1.15544,-0.28033,-3.69745
28,-8.02348,-0.32567,-0.0709,-4.52617,-0.55431,-1.00673,-2.43223,-1.85128,-0.33384,-0.91871,-1.84589
29,-8.02042,-0.04372,-1.70902,-0.5253,-0.41773,-0.13427,-0.24125,-0.22231,-0.0376,-4.19079,-3.82231
30,-8.01163,-2.45815,-1.57375,-0.39919,-0.07165,-1.49013,-3.26243,-0.83247,-0.46658,-0.22184,-3.64778
31,-7.99808,-0.43285,-0.84169,-0.57211,-2.33721,-2.6797,-1.28452,-0.13323,-1.1888,-3.6581,-2.38778
32,-7.9886,-3.01458,-2.9603,-0.66986,-1.30374,-0.26778,-3.03165,-0.94527,-1.85381,-1.55527,-0.41357
33,-7.98116,-3.62765,-1.59775,-0.67193,-1.56657,-1.39391,-1.36353,-2.46834,-2.63822,-0.4684,-0.77991
