leaf_index,r0,r1
0,-9.937739946331215,-1.1141475481698413
1,-9.721725081721013,-2.3426611866500338
2,-1.463573175470351,-9.892317906337404
3,-1.0158835992414803,-9.948265201169106
4,-2.197066168576939,-9.755659908529747
5,-9.454225098477899,-3.2584701605677684
6,-0.4780695240302023,-9.98856593962284
7,-7.216282773677815,-6.9228074457058835
8,-0.09877366616972441,-9.99951217624497
9,-7.443292049501117,-6.678128739836743
10,-3.6151885146920675,-9.323647998677265
11,-6.10701456012282,-7.9186092947213815
12,-9.532950199322677,-3.0204073396205517
13,-6.9834068428789475,-7.157655263201176
14,-8.054261037503133,-5.926962049799117
15,-5.437682266763087,-8.39235435177342
16,-8.740567858707317,-4.8582376956395
17,-4.293102562352883,-9.031570759791407
18,-8.649733251520331,-5.018178422250799
19,-8.835534950385487,-4.6833024822785605
20,-9.552376222079186,-2.9583962736347837
21,-1.880086693511394,-9.821673687558622
22,-2.3152553980336017,-9.728288258572329
23,-9.329427662304516,-3.6002471434371435
24,-4.220021013356947,-9.065948524386503
25,-6.7805636298300485,-7.350099105578506
26,-0.24693753568261723,-9.99695062773999
27,-7.180510639257049,-6.959904234938604
28,-2.1501667569489866,-9.766103773630068
29,-9.89106203020274,-1.472036655345808
30,-9.843609693179122,-1.7616322568430736
31,-4.782865612760092,-8.782038290185088
32,-9.405369780398537,-3.396913200828944
33,-6.5502102347662365,-7.556106529183112
34,-7.008927194744961,-7.132667073315879
35,-6.872507324872589,-7.264202851626091
36,-4.455676675448114,-8.952482636892832
37,-9.682856126906415,-2.498458970171595
38,-1.1221160305996998,-9.936843342524384
39,-7.8383368763728765,-6.20970812619185
40,-5.425711243594553,-8.40009866020225
41,-2.5126379398775818,-9.67918646287423
42,-9.987142723216145,-0.5069321711144471
43,-7.184183976122379,-6.956112462951301
44,-5.827930155405112,-8.126206378361292
45,-6.614909502829327,-7.4995314699905276
46,-8.525315008071306,-5.22675846133664
47,-8.6699386965422,-4.9831880356053295
48,-8.301274561301742,-5.575736781617705
49,-0.12409905363417682,-9.999229941594855
50,-2.8139163182092064,-9.595930124491108
51,-3.084448461306406,-9.512422282970018
52,-8.818754775526894,-4.714823878908056
53,-7.223442653036949,-6.915336306954748
54,-6.792948665316526,-7.338654401889655
55,-5.604463759957712,-8.28190714529695
56,-7.468364421062292,-6.650077659261649
57,-6.108244721377789,-7.917660413516128
58,-2.403256796705429,-9.706923136045178
59,-7.008399719018684,-7.133185359883677
60,-0.7880790325366174,-9.968898205843821
61,-9.367589294441157,-3.499752964234966
62,-4.4818155529936945,-8.939425560344683
63,-0.0004603507491033848,-9.999999989403861
64,-9.75482846290842,-2.2007547930725333
65,-2.223987864373777,-9.749557835056837
66,-8.810319850983564,-4.730566998084367
67,-6.976835303590201,-7.164060939619193
68,-3.298395267291606,-9.440370154856657
69,-9.985763469534435,-0.5334115957791
70,-2.4179656488436727,-9.703269661357043
71,-7.751670683728689,-6.317562948718533
72,-0.7711535331209806,-9.970221774281404
73,-2.6574616720643194,-9.640430356654681
74,-6.317088631165851,-7.752057225407664
75,-8.532141385319052,-5.215607671300237
76,-8.04077201435636,-5.94524897822989
77,-7.685369874813789,-6.398053601471677
78,-3.9471169285695695,-9.188050280238976
79,-5.321708773015964,-8.466369690440226
80,-7.621928528151983,-6.4735002519304
81,-7.075462292819635,-7.066670598159187
82,-9.730850190434898,-2.30446405294444
83,-2.818755470237291,-9.59450976334942
84,-0.9870235882571146,-9.95117000338272
85,-9.589582380337434,-2.8354734650004794
86,-8.67290873265125,-4.978017086662287
87,-8.15685205931024,-5.784960197142786
88,-3.3402912687290125,-9.4256275250008
89,-6.064761907958389,-7.951016475883882
