leaf_index,r0,r1,r2,r3,r4,r5
0,-9.49806,-0.41174,-0.22505,-1.65888,-0.96755,-2.42459
1,-9.25435,-0.29158,-1.51963,-1.05212,-0.74555,-3.20934
2,-9.19526,-1.95542,-1.12531,-1.6878,-0.46608,-2.70026
3,-9.01449,-0.26934,-3.44542,-2.17101,-0.27825,-1.4159
4,-8.82039,-0.89143,-0.98157,-3.40286,-2.96678,-0.24762
5,-8.73927,-3.51261,-2.01391,-1.84393,-1.92765,-0.33909
6,-8.72553,-3.87996,-2.26597,-1.43913,-0.12416,-1.26091
7,-8.41219,-0.53395,-3.30352,-0.6921,-0.91833,-4.08831
8,-8.35106,-4.70312,-1.25339,-0.67541,-1.36202,-2.06352
9,-8.09377,-5.63936,-0.52176,-1.26039,-0.6378,-0.64878
10,-7.86553,-3.28593,-3.07119,-1.28499,-3.45149,-2.08322
11,-7.69605,-5.29696,-0.53921,-1.31791,-2.93094,-1.44741
12,-7.69573,-5.28574,-3.41923,-0.98983,-0.09795,-0.39515
13,-7.55492,-2.84982,-1.16624,-3.52925,-0.43026,-4.56081
14,-7.53646,-3.90062,-1.50191,-3.543,-1.00885,-3.48721
15,-7.50612,-4.07608,-2.52716,-3.35834,-2.92723,-0.89999
16,-7.47864,-3.26038,-1.47715,-4.72818,-0.77778,-2.88049
17,-7.40025,-4.4902,-2.75485,-1.65913,-2.79187,-2.63399
18,-7.09128,-0.52729,-5.06408,-1.51854,-0.89048,-4.54883
19,-6.96649,-0.36419,-3.80638,-2.40324,-3.37768,-4.43425
20,-6.9077,-3.25292,-4.64337,-2.79482,-1.92268,-2.93829
21,-6.81875,-2.09449,-0.28402,-3.60429,-5.844,-1.37617
22,-6.78419,-0.85822,-1.58668,-2.47332,-4.79897,-4.64471
23,-6.74588,-5.63194,-0.32768,-2.59706,-3.67471,-1.55523
24,-6.66648,-4.71855,-2.14819,-2.47643,-1.91698,-4.34408
25,-6.6438,-1.0767,-4.17795,-4.77923,-0.68765,-3.73249
26,-6.59478,-1.45882,-4.31727,-5.36253,-0.3557,-2.61889
27,-6.41616,-3.36895,-1.14398,-6.18874,-1.95924,-2.0088
28,-6.39735,-0.58062,-0.14978,-6.5798,-2.19814,-3.25403
29,-6.3668,-3.81068,-5.40089,-3.6012,-0.68457,-1.5283
30,-6.28798,-0.00088,-1.41552,-4.1604,-1.31432,-6.27864
31,-6.27538,-1.07659,-2.77371,-1.42578,-6.87667,-1.56386
32,-6.21268,-2.32963,-6.25015,-1.64812,-3.19374,-1.9987
33,-6.17196,-3.06457,-2.12303,-4.33354,-2.35579,-4.86608
34,-6.14125,-4.72354,-4.44891,-0.00729,-3.09619,-3.25484
35,-5.90811,-0.08319,-2.45905,-6.93264,-3.30963,-0.1588
36,-5.87623,-0.35208,-3.75643,-0.2312,-6.97615,-1.58588
37,-5.8531,-4.52542,-2.90137,-0.29962,-5.80131,-1.76035
38,-5.79979,-3.93054,-4.52867,-1.48237,-1.24493,-5.16306
39,-5.77614,-5.05809,-2.75514,-4.21211,-3.90507,-0.68541
40,-5.7754,-5.34017,-4.27113,-3.21582,-2.82555,-1.24885
41,-5.77334,-4.56248,-3.98554,-4.35995,-2.96578,-1.47064
42,-5.74165,-5.45718,-4.21965,-4.30334,-0.95407,-0.13493
43,-5.63073,-3.67651,-0.35573,-5.804,-4.47434,-0.97237
44,-5.62831,-1.75573,-2.07706,-4.78327,-1.42316,-6.0017
45,-5.62228,-0.44089,-7.79358,-1.08453,-2.25435,-1.09423
46,-5.57819,-1.51761,-0.28257,-3.26304,-4.40717,-6.03574
47,-5.53744,-4.73155,-0.54933,-1.76379,-4.05398,-5.20594
48,-5.53142,-6.86715,-0.13118,-1.3667,-1.29398,-4.32275
49,-5.49934,-4.90919,-4.03594,-3.35911,-4.21481,-0.56576
50,-5.4961,-4.98873,-4.50933,-1.56465,-2.91891,-3.68825
51,-5.47695,-5.30437,-2.38789,-5.02504,-1.59033,-2.8956
52,-5.47468,-3.83275,-1.14379,-4.34683,-5.40722,-2.42832
53,-5.42144,-8.04453,-1.99717,-0.41924,-0.08311,-1.31233
54,-5.40288,-1.43861,-4.38666,-6.39368,-1.25957,-2.65159
55,-5.36286,-1.58928,-1.21471,-3.87546,-2.11047,-6.91124
56,-5.25308,-0.63639,-4.55771,-6.29237,-1.71271,-2.94963
57,-5.23085,-3.80012,-1.58782,-5.29861,-3.30464,-4.08415
58,-5.22674,-2.38018,-4.16033,-5.51025,-2.56345,-3.57399
59,-5.22259,-3.57909,-2.89292,-3.95879,-1.95648,-5.66091
60,-5.16463,-1.05726,-0.55302,-6.51418,-3.31462,-4.29903
61,-5.12488,-5.35305,-0.4626,-3.10885,-2.45872,-5.39966
62,-5.08812,-3.28176,-2.35556,-6.3615,-2.60179,-3.24877
63,-5.07822,-3.9921,-0.0287,-4.26248,-6.23793,-1.09247
64,-5.01771,-5.43042,-3.40685,-2.74861,-0.2656,-5.10892
65,-4.97612,-6.6848,-4.35699,-1.90502,-1.94324,-2.04034
66,-4.97602,-3.0238,-1.41891,-2.08759,-7.31282,-2.49945
67,-4.95343,-1.80833,-1.1953,-0.20584,-6.84366,-4.8874
68,-4.94679,-8.00678,-0.32213,-0.00157,-1.50431,-3.00899
69,-4.85029,-2.27052,-6.20619,-4.78788,-3.08491,-0.60183
70,-4.84242,-1.86634,-4.59149,-5.88279,-3.16021,-2.71878
71,-4.79366,-2.67147,-0.20868,-2.49342,-2.42577,-7.59862
72,-4.62187,-7.55642,-2.80555,-2.41935,-2.32699,-1.54904
73,-4.60134,-5.83062,-0.61573,-3.77674,-5.44341,-0.74695
74,-4.54397,-4.22303,-5.70587,-4.65549,-1.51466,-2.23466
75,-4.51963,-2.95049,-1.42112,-1.59252,-1.58279,-7.98791
76,-4.50331,-2.67575,-5.59511,-0.61698,-6.13708,-1.79189
77,-4.49378,-0.61193,-8.17236,-0.00599,-3.43882,-0.9047
78,-4.4717,-4.31845,-6.42866,-2.15535,-0.15607,-3.91885
79,-4.40371,-1.07751,-0.68559,-1.50406,-2.22519,-8.47128
80,-4.38419,-4.48064,-2.20685,-2.6855,-4.33133,-5.46445
81,-4.3745,-2.06639,-3.33316,-0.5662,-2.92742,-7.52286
82,-4.36365,-0.64812,-4.87704,-6.43924,-2.81694,-2.71184
83,-4.32661,-6.17651,-2.02847,-1.4087,-0.31366,-6.07731
84,-4.27027,-3.41748,-2.95901,-0.56453,-2.81736,-7.28517
85,-4.24965,-1.32187,-3.89798,-5.60653,-4.96294,-2.98913
86,-4.21476,-1.38636,-0.04389,-1.4856,-6.97545,-5.42659
87,-4.18353,-5.10016,-4.35154,-0.09547,-5.94224,-1.49371
88,-4.14888,-2.17637,-3.18132,-2.98685,-4.02523,-6.54261
89,-4.14668,-3.05365,-5.74663,-1.19598,-3.4967,-5.1768
90,-4.09537,-2.42909,-6.55168,-1.75271,-2.03356,-5.21494
91,-4.02305,-0.92892,-8.10106,-1.83184,-0.02074,-3.73751
92,-3.87361,-3.34416,-4.59945,-4.00524,-2.2449,-5.61919
93,-3.86317,-3.58411,-1.20756,-4.26849,-1.6448,-7.06021
94,-3.84455,-1.49655,-0.42665,-4.58355,-2.32876,-7.50771
95,-3.83287,-5.03551,-0.01601,-7.22936,-1.60992,-2.25766
96,-3.78943,-3.21524,-7.31157,-2.45877,-3.83438,-1.04659
97,-3.76305,-0.17406,-7.77595,-2.73962,-3.73793,-1.96623
98,-3.75783,-0.946,-9.06449,-0.08708,-0.96377,-1.37198
99,-3.71244,-0.13602,-2.38918,-5.32055,-5.69148,-4.4486
100,-3.708,-3.2395,-0.81897,-2.83153,-3.41808,-7.4421
101,-3.7073,-6.75916,-1.51468,-4.06987,-3.08801,-3.48937
102,-3.69888,-0.39033,-2.00189,-0.29115,-7.48806,-5.09927
103,-3.64265,-5.43219,-3.9756,-0.27673,-0.21042,-6.42621
104,-3.63003,-1.32172,-5.76085,-0.80276,-6.92148,-1.82681
105,-3.62941,-2.67785,-3.91403,-2.22223,-4.58112,-6.19774
106,-3.60948,-5.41754,-1.95048,-4.97414,-4.44782,-3.04833
107,-3.5739,-6.61376,-5.38435,-3.49345,-0.00424,-1.51328
108,-3.56766,-0.39802,-7.11452,-0.77166,-2.10073,-5.61147
109,-3.55585,-4.54294,-2.05848,-0.64473,-7.87564,-0.19724
110,-3.53373,-2.90731,-1.57874,-2.93696,-1.95095,-8.0085
111,-3.53321,-3.53495,-5.71789,-1.43022,-5.90724,-2.32062
112,-3.52181,-0.23151,-8.47948,-3.14815,-1.34833,-1.97808
113,-3.49752,-4.25539,-2.70369,-4.60578,-6.34471,-0.93834
114,-3.46929,-2.45804,-4.39657,-3.74877,-1.62588,-6.77462
115,-3.43528,-1.41542,-1.69374,-0.21549,-3.49914,-8.4283
116,-3.40063,-6.07595,-3.0997,-3.15154,-2.57139,-5.03648
117,-3.38941,-3.83007,-0.55488,-1.28059,-0.96321,-8.42418
118,-3.32692,-2.68732,-0.58189,-7.5563,-0.00755,-4.92682
119,-3.29068,-0.96322,-0.35612,-0.97209,-3.96478,-8.45295
120,-3.28061,-2.03444,-7.81077,-3.54454,-1.38789,-3.09848
121,-3.21453,-4.15089,-1.534,-3.61296,-0.85549,-7.50323
122,-3.19664,-0.67305,-6.79436,-3.91659,-2.71801,-4.52083
123,-3.09469,-6.0215,-3.87008,-5.2781,-3.22099,-0.97659
124,-3.08861,-5.77897,-0.97714,-3.35808,-6.00232,-2.96726
125,-3.07044,-8.79257,-1.36654,-2.34263,-1.39212,-1.99242
126,-3.06656,-2.17433,-2.86618,-6.08848,-0.1089,-6.36962
127,-3.04199,-2.41543,-5.86705,-0.00806,-0.63874,-7.07684
128,-3.00352,-2.19413,-5.79413,-5.13537,-4.61249,-2.22386
129,-2.95319,-0.86334,-2.17413,-2.62826,-2.82208,-8.42226
130,-2.95202,-0.26224,-8.57843,-0.99464,-0.92489,-3.97274
131,-2.9343,-3.43257,-1.58696,-0.25899,-8.53488,-2.04394
132,-2.92615,-2.41426,-6.49143,-1.32329,-1.06382,-6.37083
133,-2.92538,-1.10429,-8.16391,-3.23538,-3.61536,-0.18644
134,-2.91393,-5.47011,-6.75728,-2.19971,-2.18867,-2.50938
135,-2.87191,-1.96903,-1.25089,-5.9852,-2.26624,-6.73438
136,-2.82723,-4.4919,-4.48411,-4.22327,-5.82005,-0.11573
137,-2.77996,-3.09513,-0.18847,-3.62394,-4.98323,-6.68513
138,-2.75981,-7.77697,-0.11962,-4.63949,-3.18285,-0.48219
139,-2.75055,-1.15802,-6.67066,-4.09601,-5.00762,-2.17767
140,-2.73178,-1.73798,-1.07327,-1.40405,-7.63383,-5.30265
141,-2.72995,-1.00422,-3.03704,-2.87874,-8.55599,-0.9073
142,-2.68148,-8.12756,-1.19046,-4.82097,-1.38315,-0.4246
143,-2.66142,-6.91378,-3.1412,-2.73541,-4.84305,-2.07647
144,-2.65267,-0.77369,-2.28538,-5.18425,-2.37076,-7.39222
145,-2.64208,-3.08921,-0.10879,-7.39353,-3.95899,-3.62305
146,-2.62702,-0.09196,-4.93812,-7.28502,-3.78144,-1.15523
147,-2.61414,-0.09697,-7.72983,-0.63737,-5.70264,-0.69302
148,-2.57355,-4.18857,-0.91924,-2.35098,-7.0499,-4.44516
149,-2.55303,-4.14875,-2.94812,-3.29433,-4.34997,-6.14846
150,-2.55227,-7.5946,-0.7805,-2.74841,-2.30785,-4.72429
151,-2.54158,-3.79985,-2.66299,-4.90345,-5.75373,-3.85496
152,-2.52414,-4.03339,-0.02508,-7.6783,-3.84716,-1.89812
153,-2.50105,-0.24827,-4.95793,-1.25777,-2.69032,-7.76416
154,-2.46115,-0.09316,-0.75274,-3.43959,-7.29114,-5.32691
155,-2.44685,-1.37746,-0.93705,-7.89993,-5.3332,-0.62097
156,-2.42906,-7.57585,-0.03728,-2.93893,-5.27949,-0.44097
157,-2.30021,-7.37523,-0.74941,-0.48784,-5.49247,-3.05748
158,-2.29922,-3.21086,-4.23703,-4.87805,-5.46684,-3.5735
159,-2.2397,-5.35545,-1.40804,-2.4549,-5.06641,-5.71186
160,-2.23736,-3.83919,-1.44089,-2.34609,-6.68731,-5.2872
161,-2.22161,-4.2946,-0.2203,-7.91906,-3.55919,-1.09224
162,-2.19844,-5.1416,-0.60382,-5.74706,-5.32725,-2.63779
163,-2.16673,-0.22586,-5.43633,-7.04267,-1.06935,-3.86755
164,-2.16092,-4.36492,-2.31727,-5.3045,-1.93522,-6.24702
165,-2.11122,-3.974,-6.28944,-3.7406,-4.46822,-2.49719
