leaf_index,r0,r1,r2,r3,r4,r5,r6,r7,is_dominated,ground_truth_pareto
0,8.55016,0.13668,4.32707,0.22435,0.1294,2.45818,0.50139,1.33846,0,1
1,8.22425,3.98977,0.98445,0.1622,0.45409,0.51759,0.48491,3.8391,0,1
2,7.6188,4.64563,0.84708,1.98739,1.50952,0.12172,1.99174,3.07316,0,1
3,7.57934,3.05662,0.96076,0.89112,4.51018,2.57472,0.63993,2.02808,0,1
4,7.50646,3.11742,2.96057,0.65058,3.6005,0.79278,3.33473,0.18425,0,1
5,7.38533,3.29795,3.21727,0.09283,0.71965,0.69375,1.29378,4.64197,0,1
6,7.36633,5.01746,2.4529,1.64225,1.20251,0.1136,0.91795,3.08981,0,1
7,7.28213,0.83575,6.05859,1.87967,0.65631,2.15578,0.11942,0.96957,0,1
8,7.10214,5.20403,0.43433,1.39607,3.03509,0.47962,0.51757,3.26043,0,1
9,6.95168,1.27447,5.67576,1.01978,1.31217,1.09059,3.66037,0.69721,0,1
10,6.93227,0.27355,5.38197,1.07716,2.90291,2.18439,2.57372,1.38582,0,1
11,6.90956,0.65288,4.88062,2.7,1.10168,2.04875,2.66192,2.86783,0,1
12,6.79127,1.26342,3.63097,4.74537,1.80803,0.74994,2.63572,2.40862,0,1
13,6.78192,2.0451,2.57192,2.06816,3.62559,0.46579,5.03543,0.46215,0,1
14,6.72678,1.46591,3.61265,1.91349,0.46284,0.79382,1.58786,5.70291,0,1
15,6.7199,1.84109,1.15965,2.7939,3.29963,3.94756,1.45423,3.70365,0,1
16,6.65544,1.67535,3.15988,1.13181,0.25396,2.6616,3.77659,4.4968,0,1
17,6.60185,0.30731,0.0,0.0,0.0,0.0,0.0,2.63347,1,0
18,6.57875,0.66655,0.49427,1.1908,5.44101,0.91398,1.71199,4.60897,0,1
19,6.54088,2.40796,0.79277,3.77242,3.34358,4.42845,1.05443,2.1579,0,1
20,6.53142,0.52929,4.049,0.44325,0.14385,5.51292,1.03344,2.99811,0,1
21,6.43679,1.88004,1.86739,4.46434,2.3015,4.44595,2.50221,0.53961,0,1
22,6.37772,6.26235,2.50494,0.32597,3.06948,1.04978,1.55585,0.88447,0,1
23,6.35523,1.85283,1.2535,0.75625,1.21106,2.19873,6.825,1.0739,0,1
24,6.35475,2.33614,2.01917,0.49201,3.12593,3.23956,3.42275,4.226,0,1
25,6.3085,1.8324,5.60082,2.49783,0.71377,0.49197,4.28355,0.36942,0,1
26,6.30507,3.04149,1.12092,2.92164,2.60146,0.59786,3.21551,4.87221,0,1
27,6.21701,2.55754,0.52661,1.36241,1.22438,6.60703,0.79947,2.62358,0,1
28,6.11691,1.05754,6.32659,0.10464,0.01344,3.03395,3.44631,0.58842,0,1
29,6.08749,0.42816,4.05693,4.50277,2.40165,1.24655,2.82046,3.27851,0,1
30,6.08341,3.28939,0.94234,4.56849,2.82685,1.04895,4.13912,2.04674,0,1
31,6.00957,1.73776,1.56344,0.871,2.76305,3.27921,5.65503,2.70097,0,1
32,5.99222,4.09449,2.1475,4.90512,2.55356,2.55639,2.14951,0.99006,0,1
33,5.92897,0.78412,0.16937,3.85561,0.10335,0.16114,6.46337,2.7434,0,1
34,5.82033,1.21452,0.51539,0.39899,5.72654,1.82488,1.77822,4.99383,0,1
35,5.80063,0.05777,0.40594,1.56114,6.70188,1.82961,2.41989,3.10302,0,1
36,5.76207,1.80452,3.55266,4.53161,4.12346,2.2407,2.18322,1.89612,0,1
37,5.74114,0.74861,2.2313,1.23064,0.46791,1.79547,6.67234,3.46741,0,1
38,5.71326,0.30711,4.07196,3.54309,1.09694,2.98632,2.19098,4.8175,0,1
39,5.71013,1.28952,2.16889,3.79283,4.09877,3.46949,2.67182,3.26588,0,1
40,5.68931,1.816,3.49105,0.79412,4.80546,1.50645,2.72247,4.32921,0,1
41,5.64354,1.63882,0.18124,5.95777,0.43901,3.31175,1.68258,3.99316,0,1
42,5.54574,0.0,0.37395,4.09946,0.0,0.0,0.0,0.76607,1,0
43,5.51814,4.43968,1.2531,2.34448,5.12995,3.95104,0.07635,0.91628,0,1
44,5.45031,3.74284,3.46217,3.85386,5.11333,1.36857,0.07589,1.19228,0,1
45,5.35348,1.38853,6.72431,1.89316,4.35888,0.54113,0.21661,1.12794,0,1
46,5.30116,3.9968,1.60223,3.62901,1.51561,5.20709,1.42785,2.95584,0,1
47,5.28402,3.08782,0.99333,0.00887,1.25052,3.09877,0.39615,7.08764,0,1
48,5.25627,4.76698,3.69717,1.22253,1.50242,2.34517,0.69743,5.12254,0,1
49,5.24531,3.41204,3.90079,6.14158,1.78505,1.97235,0.74975,0.52054,0,1
50,5.23008,2.61894,5.54854,2.61997,1.18234,0.70315,0.84547,5.05269,0,1
51,5.20771,0.72142,3.11988,0.42379,1.47909,5.62277,1.92799,4.99256,0,1
52,5.16789,2.75583,2.66043,2.97953,5.4445,1.05629,2.38871,3.64397,0,1
53,5.16236,0.37713,1.42564,3.45512,0.1159,2.48733,2.69508,6.76563,0,1
54,5.14696,4.78778,4.46703,2.74009,1.0868,3.17638,0.06695,3.44217,0,1
55,5.14633,1.40472,7.62043,1.85706,1.49868,2.0201,1.63463,1.01168,0,1
56,5.0607,1.87792,2.62092,0.39841,0.99456,1.17175,6.69555,4.07949,0,1
57,5.04454,0.50763,1.20189,4.74581,4.8701,1.3693,4.93171,0.64269,0,1
58,5.0132,2.69273,0.20235,0.30208,3.45782,5.03429,4.99402,2.28998,0,1
59,4.99394,3.64947,4.47158,1.5599,0.78402,1.46937,5.85515,1.50234,0,1
60,4.97501,0.20332,1.80321,1.33148,1.04781,1.47196,8.12115,0.98279,0,1
61,4.96833,0.18604,1.52,0.57072,1.19926,3.31532,5.37336,5.59843,0,1
62,4.917,0.37545,4.01733,3.6998,0.90409,3.78707,2.09677,5.12824,0,1
63,4.88943,2.48595,2.89537,2.49195,1.33338,6.97854,0.32717,2.17615,0,1
64,4.86597,2.04265,3.57459,2.98128,0.16517,6.43724,1.89704,2.32812,0,1
65,4.86128,4.98747,2.47081,0.53864,2.77667,1.15545,5.99253,0.37768,0,1
66,4.85685,0.07594,0.08065,0.3068,3.16736,6.97242,1.03284,4.0732,0,1
67,4.85667,5.97345,3.48513,3.93975,0.14756,0.34038,3.40597,1.15094,0,1
68,4.84374,6.01859,3.19781,3.5445,0.11887,3.4525,1.09945,2.09349,0,1
