leaf_index,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
0,-8.56089,-0.15106,-0.74914,-0.75435,-1.87321,-2.30733,-0.27252,-2.60651,-2.62233,-0.76262,-1.54887
1,-8.35421,-2.02673,-0.5401,-0.87074,-0.43472,-2.04389,-2.10515,-2.13473,-2.75843,-1.03298,-1.73738
2,-8.30972,-1.08483,-0.79554,-0.18415,-2.49898,-1.26971,-3.09791,-2.63479,-0.71073,-2.04023,-0.20245
3,-8.2413,-3.04991,-2.29772,-0.19012,-2.18194,-1.10808,-1.98788,-1.98389,-1.15602,-0.27332,-1.47512
4,-8.13191,-0.46681,-2.18434,-0.8773,-3.52901,-3.35901,-0.33953,-1.54517,-0.51975,-1.23724,-0.26947
5,-8.10275,-1.74192,-0.80603,-0.83631,-2.8781,-2.92129,-1.54284,-1.5772,-2.17181,-1.65215,-0.91125
6,-8.05207,-3.60725,-0.51689,-1.78724,-0.95756,-3.39191,-0.48532,-0.48614,-0.4784,-1.4551,-1.85753
7,-8.02348,-0.32567,-0.0709,-4.52617,-0.55431,-1.00673,-2.43223,-1.85128,-0.33384,-0.91871,-1.84589
8,-7.98116,-3.62765,-1.59775,-0.67193,-1.56657,-1.39391,-1.36353,-2.46834,-2.63822,-0.4684,-0.77991
9,-7.90316,-4.53499,-0.90017,-2.86373,-0.14618,-0.4966,-1.73401,-0.4222,-1.86008,-0.40322,-0.94188
10,-7.88358,-2.91355,-2.36464,-1.0567,-2.28639,-0.29647,-1.38419,-0.47011,-3.50061,-0.4086,-1.66691
11,-7.84142,-2.56614,-1.21872,-0.87866,-2.14846,-1.79424,-0.94463,-1.03316,-2.21499,-3.77681,-0.83932
12,-7.80802,-1.4388,-0.86892,-1.73766,-0.45614,-2.77889,-2.20328,-3.57632,-2.74043,-0.21104,-0.24688
13,-7.72549,-1.8501,-4.58009,-3.14579,-2.03495,-0.5891,-0.0583,-0.23517,-0.41255,-0.64924,-0.93925
14,-7.64127,-3.39782,-1.98439,-1.2603,-0.10873,-1.10422,-0.94473,-0.68537,-2.0635,-4.20551,-0.04462
15,-7.55317,-1.41692,-3.03808,-3.16719,-2.44987,-0.03002,-1.49433,-3.43202,-0.50462,-0.01289,-1.18808
16,-7.55184,-0.95433,-0.43121,-1.14696,-1.33044,-1.31098,-0.6684,-0.86761,-2.52521,-5.176,-1.64365
17,-7.54722,-0.33717,-0.46467,-3.50332,-0.16566,-1.43175,-3.91101,-0.25386,-1.67922,-3.17161,-0.34634
18,-7.5392,-2.9078,-0.87239,-1.84233,-3.29209,-0.0258,-3.62045,-1.23035,-1.4339,-1.69636,-0.39527
19,-7.52309,-0.83239,-0.78151,-0.16326,-0.83995,-0.63407,-1.9562,-4.09283,-2.67588,-3.6065,-0.46921
20,-7.51836,-0.24927,-1.92097,-0.79609,-0.61792,-2.21644,-1.38955,-0.0624,-2.11501,-5.20662,-0.52611
21,-7.51497,-2.82208,-1.62547,-0.07121,-3.30355,-1.31346,-2.66591,-1.00806,-2.85678,-1.99595,-0.08361
22,-7.43542,-1.14623,-3.74649,-1.79652,-2.56194,-2.68398,-1.08467,-0.59815,-0.08257,-3.16956,-0.88461
23,-7.41986,-3.54816,-1.56462,-2.42451,-1.54632,-2.6601,-0.65421,-1.32004,-1.91264,-0.93766,-2.80263
24,-7.40797,-0.70107,-4.63888,-1.82185,-0.50138,-0.52332,-1.32695,-0.51621,-1.10799,-2.0135,-3.458
25,-7.40617,-3.26181,-2.80086,-1.99,-0.34116,-1.06036,-3.84387,-0.03746,-1.37096,-2.13953,-0.4792
26,-7.39217,-1.02259,-2.89279,-1.30865,-4.32535,-2.08223,-0.0493,-1.80359,-1.79224,-0.19754,-2.16298
27,-7.35877,-0.97098,-2.06132,-1.9159,-3.53088,-0.43977,-0.35243,-2.60765,-2.94322,-2.95098,-0.17494
28,-7.33485,-1.15486,-1.26352,-2.29017,-1.72445,-1.7823,-4.35521,-3.32803,-0.88667,-0.84619,-0.57333
29,-7.29489,-3.61566,-0.99638,-0.27427,-0.28031,-1.7301,-3.00495,-0.82849,-0.68089,-2.13007,-3.85418
30,-7.28596,-0.75376,-0.05645,-2.21966,-1.31219,-1.84571,-1.66482,-0.57528,-2.1333,-1.69006,-5.07723
31,-7.27938,-0.31556,-0.36969,-0.69295,-3.62032,-0.76102,-1.11204,-3.85294,-2.4719,-0.26856,-3.21622
32,-7.24786,-2.54524,-0.47235,-0.44403,-2.67131,-0.15505,-0.19505,-4.59168,-2.41387,-2.42592,-0.75935
33,-7.23906,-0.35682,-1.84358,-4.04142,-1.46933,-1.14646,-3.94042,-1.94691,-1.81762,-1.27014,-0.17071
34,-7.23841,-0.75981,-3.60283,-2.96032,-0.89205,-1.7068,-2.20114,-2.73155,-2.12521,-1.33297,-1.72497
35,-7.23462,-3.60476,-0.83721,-3.2245,-1.53639,-4.20383,-1.11513,-0.88358,-0.10469,-0.72522,-0.9868
36,-7.21699,-2.57355,-0.11751,-1.6689,-2.24936,-2.57896,-2.34106,-1.02212,-0.24937,-4.38759,-0.97145
37,-7.19706,-0.25757,-2.81826,-3.57118,-0.37713,-2.3132,-3.33401,-0.45749,-3.13015,-0.76589,-0.48732
38,-7.18637,-0.88657,-1.90616,-2.91567,-2.09765,-5.07159,-0.98391,-0.31293,-0.40117,-0.23163,-2.00844
39,-7.17553,-0.39105,-5.65073,-1.40638,-2.20317,-2.05694,-0.27771,-0.60518,-1.60997,-1.10646,-1.0515
40,-7.13797,-1.89354,-2.18285,-1.31482,-3.82026,-2.44814,-3.30064,-0.20038,-2.65949,-0.24968,-0.55935
41,-7.1326,-0.22922,-2.01675,-0.79914,-3.18083,-2.20754,-3.16257,-0.37468,-0.10206,-0.10237,-4.38332
42,-7.11267,-1.57996,-0.7856,-2.04048,-1.18233,-0.05269,-2.84411,-0.87068,-1.23049,-4.67546,-2.9174
43,-7.10708,-3.478,-0.48053,-1.52407,-2.05376,-1.48275,-2.33324,-1.04094,-1.15261,-0.15135,-4.53252
