leaf_index,r0,r1,r2,r3,r4
0,-9.83471,-0.85744,-0.74766,-1.40531,-0.09664
1,-9.79386,-0.05565,-0.61092,-1.88213,-0.40201
2,-9.79018,-0.4244,-0.23197,-1.7099,-0.99731
3,-9.78992,-1.15618,-0.79255,-0.49731,-1.3947
4,-9.7758,-0.19708,-0.65979,-1.73431,-0.97553
5,-9.68161,-1.30083,-1.04721,-0.14491,-1.85919
6,-9.65889,-0.09279,-1.02697,-1.46195,-1.87222
7,-9.60235,-0.88841,-2.14611,-1.086,-1.1047
8,-9.57432,-1.51223,-1.63396,-1.04013,-1.51458
9,-9.57356,-2.37678,-0.49893,-0.0989,-1.56177
10,-9.55703,-0.92647,-1.74134,-1.10634,-1.88378
11,-9.50228,-0.34799,-2.30413,-1.47165,-1.45287
12,-9.49632,-1.16948,-0.82744,-1.59241,-2.28731
13,-9.47658,-0.83209,-0.36235,-3.02232,-0.48607
14,-9.44537,-2.91523,-1.03537,-0.97461,-0.5143
15,-9.44153,-2.83176,-1.32567,-0.61358,-0.83953
16,-9.42014,-0.79422,-1.60149,-2.34878,-1.59647
17,-9.41097,-1.30961,-2.72219,-1.32131,-0.74996
18,-9.40091,-1.23624,-1.3032,-1.75851,-2.30303
19,-9.38928,-2.59172,-2.03872,-0.19746,-0.96392
20,-9.36085,-1.57078,-2.35621,-1.90706,-0.84761
21,-9.35751,-1.91941,-1.4906,-2.51927,-0.42927
22,-9.29728,-1.94264,-2.84069,-0.09967,-1.30664
23,-9.28926,-1.35767,-2.40421,-1.6307,-1.85122
24,-9.27993,-2.32898,-2.77659,-0.65306,-0.56811
25,-9.27823,-0.93394,-2.30986,-2.69797,-0.65391
26,-9.2774,-0.84066,-3.36162,-1.29686,-0.49082
27,-9.26996,-2.84537,-2.3263,-0.19962,-0.72121
28,-9.19949,-0.63319,-1.67445,-3.40878,-0.73812
29,-9.19524,-2.55203,-2.8169,-0.00979,-0.99982
30,-9.1799,-1.7257,-2.14954,-2.82093,-0.4162
31,-9.15072,-1.47977,-1.34786,-1.6298,-3.09865
32,-9.13619,-0.45418,-2.70374,-2.88498,-0.83095
33,-9.1322,-3.70664,-0.04435,-0.46696,-1.62599
34,-9.13078,-2.47216,-0.86464,-2.80432,-1.38038
35,-9.10623,-0.27208,-3.48049,-2.19311,-0.28108
36,-9.09831,-0.17744,-0.59269,-2.38088,-3.34207
37,-9.0924,-2.09329,-0.21868,-1.37049,-3.3197
38,-9.05791,-0.59935,-2.63202,-3.26427,-0.10948
39,-9.05716,-0.18486,-0.57253,-3.16681,-2.75266
40,-9.04439,-0.54261,-0.4411,-3.3748,-2.51413
41,-9.04136,-2.65087,-2.90257,-1.64431,-0.31298
42,-9.03437,-3.84172,-1.69885,-0.49446,-0.7006
43,-9.01237,-3.11529,-2.77918,-1.07658,-0.43507
44,-8.98177,-0.18526,-3.36145,-2.80723,-0.33692
45,-8.95896,-2.26622,-1.00346,-3.1459,-1.92294
46,-8.95515,-0.40647,-1.6879,-0.43244,-4.07481
47,-8.95066,-2.38021,-1.81827,-0.11767,-3.30155
48,-8.94415,-2.80106,-2.66083,-1.85726,-1.27547
49,-8.94307,-1.59491,-1.70892,-2.60207,-2.79046
50,-8.94145,-3.26401,-1.07293,-2.86223,-0.23056
51,-8.9279,-2.16431,-2.74139,-1.21384,-2.57289
52,-8.92687,-3.34022,-1.57782,-2.54508,-0.43233
53,-8.91578,-0.60242,-3.74208,-1.75659,-1.74849
54,-8.91188,-4.38652,-0.66637,-0.93162,-0.1578
55,-8.90537,-0.10947,-1.86159,-3.52847,-2.18328
56,-8.89998,-2.23058,-2.3601,-3.17018,-0.44137
57,-8.89291,-3.32759,-2.38002,-1.98069,-0.50564
58,-8.88652,-2.32506,-0.43407,-3.0457,-2.48175
59,-8.88227,-2.26653,-1.97211,-3.44782,-0.43757
60,-8.87524,-2.1999,-3.12442,-0.99403,-2.37497
61,-8.87109,-1.63326,-3.26449,-0.09324,-2.82323
62,-8.86661,-0.00757,-4.43785,-0.79389,-1.0288
63,-8.86179,-3.91955,-0.04188,-2.09749,-1.30558
64,-8.86087,-3.13089,-0.75327,-3.31544,-0.35048
65,-8.86017,-2.43858,-3.4736,-0.80021,-1.68658
66,-8.85447,-3.83219,-0.20421,-1.15014,-2.35544
67,-8.85284,-0.40914,-4.27596,-1.7821,-0.00257
68,-8.85099,-1.76498,-2.72489,-0.7502,-3.24914
69,-8.8476,-1.59411,-0.19177,-1.94271,-3.92019
70,-8.83128,-4.16554,-1.8068,-1.17655,-0.08916
