leaf_index,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13
0,-8.26935,-0.77815,-1.52751,-1.8393,-0.2391,-1.13272,-0.09331,-2.6089,-2.2272,-1.65648,-1.87382,-1.80656,-0.53113,-1.54253
1,-8.05332,-1.25404,-2.04326,-0.08316,-2.19222,-0.91995,-0.44194,-0.65835,-2.95986,-0.75681,-0.91206,-3.55164,-0.56352,-0.10762
2,-7.96398,-2.43285,-1.34524,-3.53126,-0.13103,-0.69322,-1.2409,-0.28366,-1.82033,-2.92551,-0.85268,-0.09076,-1.28001,-0.11345
3,-7.95112,-0.88501,-1.44269,-2.03551,-2.52447,-2.49633,-2.08105,-0.0559,-0.63813,-0.65173,-3.27428,-0.89579,-0.68393,-0.10101
4,-7.89782,-0.06669,-0.5445,-1.32304,-1.73573,-0.90964,-0.5189,-3.12317,-0.11183,-2.11275,-2.1821,-1.72617,-3.07773,-0.13996
5,-7.85325,-0.9245,-1.33932,-1.29438,-0.98132,-2.02893,-0.54154,-3.01355,-1.3749,-0.28931,-1.92625,-0.72316,-2.50014,-2.66272
6,-7.84022,-0.12827,-1.26377,-1.49919,-1.23224,-0.79913,-0.72692,-0.70754,-3.12557,-0.09826,-0.82902,-2.22566,-2.69991,-2.96218
7,-7.80604,-1.30386,-0.5024,-0.47925,-2.61066,-0.12811,-2.03402,-0.04731,-2.18326,-0.38431,-0.88978,-2.12345,-3.77682,-1.19701
8,-7.80512,-1.27939,-0.26372,-0.96696,-1.69852,-0.14408,-0.33152,-3.43554,-0.79596,-1.77405,-3.33336,-0.26295,-0.60087,-2.50955
9,-7.7965,-3.34981,-1.60859,-0.44783,-2.83113,-0.46144,-2.35744,-1.55251,-0.76282,-1.51067,-0.64422,-2.06661,-1.155,-0.35385
10,-7.78083,-0.47978,-0.28466,-2.30567,-0.87199,-0.32779,-2.54333,-3.45347,-0.10577,-0.68159,-2.10573,-3.00687,-0.34287,-0.707
11,-7.67729,-1.7544,-0.00339,-1.6278,-2.00431,-1.55317,-2.14013,-0.48511,-1.268,-1.72492,-1.5785,-2.28582,-2.83541,-1.93572
12,-7.67416,-1.34389,-0.02936,-0.45635,-2.10055,-0.26152,-0.25417,-0.89489,-1.96969,-0.9229,-3.6929,-2.47508,-3.02846,-0.28196
13,-7.66258,-2.67385,-0.06652,-0.33611,-0.77977,-0.40303,-1.12335,-3.071,-1.2924,-0.08744,-2.01402,-0.64338,-1.10473,-3.89693
14,-7.66133,-3.35638,-0.78825,-1.14815,-0.28535,-3.47005,-2.67064,-1.25371,-1.64266,-1.21125,-0.77678,-1.20284,-0.65966,-0.78843
15,-7.61774,-1.95849,-1.74147,-0.53428,-3.11306,-0.51024,-0.19214,-2.84198,-1.06955,-1.74803,-1.46517,-1.11178,-2.99535,-0.44324
16,-7.61543,-0.91259,-1.05939,-4.51849,-1.02199,-0.38566,-1.49332,-0.6185,-1.22463,-2.87749,-0.8278,-1.81283,-1.43761,-0.09794
17,-7.60074,-0.5042,-0.45575,-0.04969,-0.98059,-1.63251,-0.46735,-0.93083,-1.3636,-2.13436,-0.59494,-3.3329,-1.64025,-4.06022
18,-7.56352,-1.77634,-3.68908,-0.35737,-0.94579,-0.71897,-0.39766,-0.7422,-1.20011,-0.05536,-1.74272,-3.36494,-2.68981,-0.86138
19,-7.45901,-3.28123,-0.2148,-1.51646,-4.2949,-0.25833,-1.38277,-1.0922,-1.83901,-0.84047,-1.27583,-0.8345,-1.35383,-1.178
20,-7.42188,-2.49952,-0.59598,-2.25186,-0.52551,-1.77357,-0.97885,-1.20205,-0.29798,-1.34039,-1.55643,-4.71032,-0.35511,-0.89225
21,-7.41378,-3.74566,-0.21642,-0.39209,-0.04078,-3.94597,-1.2106,-1.54422,-1.69443,-0.11075,-0.75807,-2.33469,-0.68694,-1.41499
22,-7.39525,-1.04044,-1.21405,-0.81717,-1.95923,-0.47147,-4.58999,-2.1655,-0.69645,-0.96593,-2.67388,-0.19763,-1.85822,-0.45608
23,-7.37752,-2.28317,-4.38479,-0.00684,-0.65106,-0.65278,-0.90048,-0.38001,-2.12355,-1.50904,-0.33716,-1.29582,-3.09106,-1.09249
24,-7.3646,-0.78446,-0.96586,-2.64565,-1.1992,-0.48418,-2.70205,-0.22978,-4.49038,-0.34694,-0.47535,-2.11528,-1.78715,-0.10225
25,-7.33707,-0.23128,-0.91649,-0.44196,-1.8552,-1.16301,-0.10591,-1.83483,-0.78866,-2.55377,-2.77342,-2.88012,-2.44678,-2.7909
26,-7.33143,-0.18806,-1.28266,-2.82384,-0.48835,-2.24813,-0.38253,-1.63299,-2.79745,-2.1585,-0.43853,-0.51575,-3.13002,-2.39787
27,-7.32156,-2.13258,-0.9318,-1.05357,-2.67136,-0.0657,-0.34184,-1.31218,-1.29561,-2.47013,-0.09112,-0.07251,-2.22981,-4.2572
28,-7.25413,-1.26761,-1.03323,-1.21148,-3.66041,-0.47007,-1.06923,-1.87106,-2.19734,-1.60265,-2.0379,-0.20797,-0.58303,-3.61093
29,-7.21705,-4.83993,-0.99362,-0.94576,-0.36147,-1.43716,-1.44103,-0.30598,-1.15019,-0.53623,-3.08958,-1.49805,-1.49684,-1.61265
30,-7.2169,-1.26929,-3.36684,-2.32253,-1.60556,-2.76448,-0.06357,-0.85973,-2.75815,-2.25641,-0.4544,-0.0809,-2.30072,-0.63799
31,-7.2166,-0.73847,-0.24937,-1.59424,-0.1714,-2.27652,-0.76825,-2.35222,-1.20545,-3.89212,-3.61014,-0.12759,-0.01141,-1.94555
32,-7.21487,-0.64348,-3.16735,-2.05996,-0.75279,-0.31561,-1.35648,-0.81943,-1.27509,-0.56835,-0.38573,-4.37341,-2.5789,-1.48429
33,-7.19909,-1.42761,-2.53951,-1.69974,-2.48675,-0.83087,-3.99956,-0.91698,-0.77201,-1.13281,-0.79617,-0.54839,-1.73949,-2.69175
34,-7.18543,-1.75102,-0.57792,-1.84642,-2.17265,-0.68969,-0.79846,-1.78338,-0.33193,-2.35705,-1.15369,-1.52613,-4.56702,-1.53706
35,-7.15794,-1.1003,-0.72585,-2.7135,-0.61031,-0.90565,-2.04215,-2.2455,-1.55556,-3.25275,-3.32283,-0.44158,-1.7151,-1.44223
36,-7.15104,-4.16547,-0.66033,-2.12094,-1.58961,-0.61582,-3.4516,-0.47071,-2.77551,-1.08805,-0.12067,-0.58809,-1.48599,-0.28286
37,-7.13601,-1.06377,-0.631,-1.34302,-1.50869,-0.01484,-0.54058,-4.7537,-0.27091,-3.19223,-0.61646,-1.5492,-0.4373,-2.70974
38,-7.13012,-1.20835,-1.09239,-0.52398,-0.48105,-0.45599,-2.01235,-2.68267,-0.13763,-0.72725,-0.07194,-1.03157,-4.21728,-3.89169
39,-7.11961,-0.55831,-0.99768,-4.10476,-1.2117,-1.07724,-0.55318,-3.21688,-0.98763,-2.81573,-0.66626,-2.61203,-0.01995,-1.30429
40,-7.09881,-0.80393,-0.0153,-0.4266,-2.439,-2.93594,-0.91992,-2.40732,-0.07098,-0.90455,-1.88701,-3.93111,-2.75777,-0.35415
41,-7.09686,-1.04206,-0.40415,-1.2452,-0.55179,-1.00506,-0.37084,-2.65303,-2.7525,-1.05512,-1.11749,-1.05757,-5.02052,-1.44278
42,-7.0931,-0.89636,-0.40502,-1.07729,-1.24962,-1.23134,-0.6278,-0.81491,-2.37181,-4.86158,-1.54381,-2.76619,-1.30696,-1.55567
43,-7.08947,-0.17809,-0.48715,-2.70452,-0.4804,-0.54167,-0.82085,-1.83163,-1.9243,-0.64854,-4.25974,-3.34514,-0.5382,-1.96328
44,-7.08349,-3.36089,-1.30638,-2.96155,-0.61273,-0.43061,-1.31722,-0.8197,-0.52507,-1.43159,-1.16583,-2.69402,-3.26734,-1.86164
45,-7.07945,-0.3091,-2.67087,-1.17045,-2.80653,-0.18581,-0.54746,-0.4718,-1.04517,-1.14443,-0.03982,-5.39106,-0.05427,-1.17422
46,-7.06239,-0.38012,-1.41484,-3.98128,-1.04575,-0.1516,-3.27969,-0.4969,-1.60322,-1.1339,-0.02476,-2.69158,-0.84469,-2.86201
47,-7.06182,-3.52639,-2.59673,-1.20052,-0.47213,-0.85385,-0.73596,-0.62214,-2.4771,-0.04942,-1.11783,-0.24643,-0.81344,-4.41814
48,-7.04653,-2.20137,-1.39084,-3.05266,-2.27209,-1.18554,-0.68054,-2.23453,-2.56699,-0.86822,-1.11591,-0.60866,-3.1449,-1.83676
49,-7.04564,-0.83378,-1.77102,-1.54241,-0.0527,-1.10583,-1.29791,-4.62049,-0.35566,-2.02656,-3.57378,-1.51874,-0.26385,-0.71242
