leaf_index,r0,r1,r2,r3,r4,r5,r6,r7
0,-6.9183,-3.85119,-0.40609,-5.32535,-0.55393,-0.53822,-0.20059,-2.85385
1,-6.8926,-0.6966,-0.76703,-2.65913,-2.31836,-0.1935,-4.36396,-4.45996
2,-6.58673,-4.58933,-0.42461,-1.02571,-0.51904,-0.52798,-5.14526,-2.70164
3,-6.57876,-1.06616,-4.13705,-4.73244,-0.68092,-3.69596,-0.63619,-1.24241
4,-5.48052,-3.2987,-2.26932,-3.46803,-2.6421,-1.81147,-1.15079,-5.50627
5,-5.42839,-4.51804,-5.66896,-0.76095,-0.8746,-0.36026,-1.27215,-3.85885
6,-5.36627,-6.76917,-1.52556,-1.59365,-1.88034,-0.08698,-3.88551,-1.36894
7,-5.20979,-1.59159,-2.6957,-3.48094,-1.28641,-3.02982,-0.71741,-6.29221
8,-5.14605,-2.70693,-1.69414,-2.92374,-5.46732,-2.63739,-1.199,-4.06047
9,-4.84558,-5.35346,-2.82178,-0.98801,-1.78434,-0.06246,-3.3541,-4.94818
10,-4.74393,-4.38644,-3.50832,-2.64148,-2.32092,-1.02581,-5.16551,-2.41809
11,-4.45109,-0.91119,-0.47662,-5.61419,-2.85667,-3.70508,-3.36114,-3.79812
12,-4.2843,-1.72191,-1.4829,-6.20196,-4.9902,-1.75567,-2.93986,-1.17868
13,-4.23733,-1.33126,-3.04446,-5.26455,-6.09566,-0.38691,-2.39381,-0.50151
14,-4.19019,-0.09193,-5.72191,-1.43832,-0.2479,-1.24996,-4.5005,-5.07411
15,-4.14724,-2.04618,-4.2935,-1.65478,-4.07101,-5.21594,-2.80198,-2.41059
16,-4.12831,-1.95009,-3.14557,-0.53434,-2.76267,-7.09948,-3.04632,-1.28801
17,-3.7739,-3.50129,-1.17966,-4.16985,-1.60679,-6.89706,-0.51204,-2.07509
18,-3.61913,-2.29854,-0.1983,-2.01388,-1.723,-1.24998,-3.76341,-7.67001
19,-3.61859,-0.952,-2.53164,-0.93128,-2.81643,-2.66963,-7.93447,-0.8414
20,-3.46427,-0.30685,-1.77276,-0.9125,-3.43572,-2.46883,-7.01201,-4.1063
21,-3.38027,-2.86808,-6.52211,-2.19329,-3.42037,-0.93359,-3.3718,-3.00996
22,-3.36461,-3.36627,-5.44505,-1.36197,-5.62536,-2.20988,-2.76134,-1.30035
23,-3.3637,-4.35354,-2.9792,-0.33237,-5.94103,-0.64438,-1.75423,-4.6859
24,-3.35695,-2.86412,-7.65153,-1.32772,-2.5414,-0.67669,-2.06339,-3.00745
25,-3.31648,-7.98831,-3.42216,-1.05117,-0.14254,-1.8089,-2.93296,-0.69066
26,-3.22783,-2.75224,-1.19368,-4.97373,-3.59295,-0.48926,-6.53412,-0.00479
27,-3.06959,-0.76661,-6.4567,-4.73178,-3.49901,-2.69126,-2.53479,-0.00415
28,-3.05344,-2.41836,-5.80801,-2.38286,-5.24776,-3.42583,-1.65006,-1.84908
29,-3.00168,-0.63832,-0.36734,-0.55096,-0.15215,-0.88147,-8.46601,-4.20364
30,-2.89693,-4.32012,-3.16172,-0.22008,-0.16734,-5.11065,-3.05247,-5.23786
31,-2.88742,-2.37557,-1.28999,-2.3998,-1.59413,-6.54378,-4.70389,-3.33278
32,-2.8135,-2.2699,-0.21934,-4.21913,-5.68341,-1.25722,-3.72064,-4.62145
33,-2.76239,-2.52924,-2.64408,-0.46512,-1.91351,-5.8132,-5.28444,-3.65849
34,-2.76011,-4.14269,-1.4915,-3.80364,-3.40117,-2.331,-4.08688,-4.98233
35,-2.61001,-7.35483,-0.11313,-4.38766,-3.01009,-0.45602,-1.48764,-2.88934
36,-2.50568,-3.04914,-4.91783,-6.20439,-3.91765,-1.61417,-1.93158,-0.24575
37,-2.36169,-4.25922,-5.1601,-0.07265,-2.14772,-6.05492,-2.89061,-0.13869
