leaf_index,r0,r1
0,-10.0,-0.00733
1,-9.99999,-0.01638
2,-9.99759,-0.21935
3,-9.99388,-0.34985
4,-9.97992,-0.63345
5,-9.94424,-1.05452
6,-9.94169,-1.0783
7,-9.93834,-1.10876
8,-9.90855,-1.34927
9,-9.88718,-1.49787
10,-9.88306,-1.52484
11,-9.85877,-1.67471
12,-9.84878,-1.73249
13,-9.78751,-2.05052
14,-9.78128,-2.08004
15,-9.76396,-2.15987
16,-9.73806,-2.2738
17,-9.72827,-2.31534
18,-9.71733,-2.36082
19,-9.70201,-2.42302
20,-9.70113,-2.42655
21,-9.69829,-2.43787
22,-9.67092,-2.54428
23,-9.5973,-2.80923
24,-9.56367,-2.92169
25,-9.54024,-2.9973
26,-9.50508,-3.10699
27,-9.49931,-3.1246
28,-9.48906,-3.15559
29,-9.43818,-3.30465
30,-9.38515,-3.45237
31,-9.30756,-3.65641
32,-9.27856,-3.72938
33,-9.26788,-3.75586
34,-9.25164,-3.79568
35,-9.21056,-3.89429
36,-9.04705,-4.26038
37,-9.04197,-4.27116
38,-8.96911,-4.42211
39,-8.95667,-4.44726
40,-8.85371,-4.64885
41,-8.77913,-4.7882
42,-8.73745,-4.86385
43,-8.56776,-5.15689
44,-8.50948,-5.25251
45,-8.40712,-5.41483
46,-8.38073,-5.45558
47,-8.37364,-5.46646
48,-8.35712,-5.49167
49,-8.24868,-5.65326
50,-8.24766,-5.65475
51,-8.2219,-5.69213
52,-8.20481,-5.71674
53,-8.15955,-5.78116
54,-8.06592,-5.91109
55,-7.92656,-6.0967
56,-7.89284,-6.14028
57,-7.83914,-6.20869
58,-7.78285,-6.27911
59,-7.72233,-6.3534
60,-7.6094,-6.48822
61,-7.37546,-6.75297
62,-7.33089,-6.80133
63,-7.25768,-6.87939
64,-7.17204,-6.96864
65,-7.06933,-7.0728
66,-7.02351,-7.11831
67,-7.01045,-7.13117
68,-6.9822,-7.15883
69,-6.89229,-7.24544
70,-6.78646,-7.34465
71,-6.71064,-7.414
72,-6.65814,-7.46118
73,-6.63555,-7.48128
74,-6.34207,-7.73163
75,-6.27105,-7.78935
76,-6.12284,-7.90638
77,-6.11402,-7.9132
78,-6.0263,-7.9802
79,-6.00061,-7.99954
80,-5.6109,-8.27755
81,-5.54737,-8.32026
82,-5.54465,-8.32207
83,-5.47547,-8.36775
84,-5.28498,-8.48935
85,-5.00612,-8.65671
86,-4.73472,-8.80809
87,-4.72688,-8.8123
88,-4.57762,-8.89075
89,-4.39948,-8.98023
90,-4.35747,-9.00069
91,-4.2465,-9.05358
92,-3.93169,-9.19466
93,-3.90816,-9.20469
94,-3.87714,-9.2178
95,-3.82487,-9.23961
96,-3.65062,-9.30983
97,-3.62647,-9.31927
98,-3.50601,-9.36525
99,-3.4399,-9.38973
100,-3.34436,-9.42418
101,-3.18943,-9.47774
102,-3.12663,-9.49864
103,-3.08775,-9.51135
104,-2.97738,-9.54648
105,-2.96161,-9.55138
106,-2.72218,-9.62236
107,-2.45788,-9.69324
108,-2.3957,-9.70879
109,-2.36688,-9.71586
110,-2.33369,-9.72388
111,-2.26892,-9.7392
112,-2.19163,-9.75688
113,-2.04576,-9.78851
114,-1.94539,-9.80895
115,-1.9437,-9.80928
116,-1.84467,-9.82839
117,-1.8177,-9.83341
118,-1.70092,-9.85428
119,-1.34586,-9.90902
120,-1.25194,-9.92132
121,-1.13282,-9.93563
122,-0.76036,-9.97105
123,-0.70115,-9.97539
124,-0.51917,-9.98651
125,-0.2953,-9.99564
126,-0.25774,-9.99668
127,-0.05797,-9.99983
