leaf_index,r0,r1,is_dominated,ground_truth_pareto
0,9.99999,0.01588,0,1
1,9.99997,0.02638,0,1
2,9.99976,0.06903,0,1
3,9.99946,0.1038,0,1
4,9.99932,0.11674,0,1
5,9.99898,0.14268,0,1
6,9.99878,0.15633,0,1
7,9.99863,0.16537,0,1
8,9.99847,0.17514,0,1
9,9.99826,0.18671,0,1
10,9.99791,0.20465,0,1
11,9.99723,0.23522,0,1
12,9.99718,0.23756,0,1
13,9.99646,0.26608,0,1
14,9.99584,0.28843,0,1
15,9.99415,0.34193,0,1
16,9.99323,0.36784,0,1
17,9.993,0.37418,0,1
18,9.99299,0.37426,0,1
19,9.99281,0.37906,0,1
20,9.99222,0.3943,0,1
21,9.99172,0.40689,0,1
22,9.99094,0.42551,0,1
23,9.99087,0.42713,0,1
24,9.989,0.46892,0,1
25,9.98764,0.49698,0,1
26,9.98742,0.50139,0,1
27,9.98588,0.53126,0,1
28,9.9857,0.53452,0,1
29,9.98558,0.53677,0,1
30,9.98477,0.55168,0,1
31,9.98459,0.55491,0,1
32,9.98389,0.56743,0,1
33,9.9789,0.6493,0,1
34,9.97812,0.66111,0,1
35,9.97651,0.68504,0,1
36,9.97356,0.72671,0,1
37,9.97342,0.7286,0,1
38,9.97143,0.75538,0,1
39,9.97097,0.76136,0,1
40,9.96999,0.77417,0,1
41,9.96984,0.77608,0,1
42,9.96904,0.78629,0,1
43,9.96843,0.79402,0,1
44,9.96733,0.80773,0,1
45,9.96509,0.83481,0,1
46,9.96238,0.86659,0,1
47,9.95942,0.89999,0,1
48,9.95657,0.93099,0,1
49,9.95619,0.93505,0,1
50,9.95587,0.93842,0,1
51,9.95567,0.94053,0,1
52,9.95283,0.97018,0,1
53,9.95082,0.99051,0,1
54,9.94906,1.00803,0,1
55,9.9462,1.03589,0,1
56,9.94271,1.06884,0,1
57,9.94061,1.08821,0,1
58,9.92975,1.18326,0,1
59,9.92278,1.24035,0,1
60,9.92266,1.24131,0,1
61,9.92209,1.24587,0,1
62,9.92106,1.25402,0,1
63,9.91639,1.29043,0,1
64,9.91606,1.29299,0,1
65,9.91292,1.3168,0,1
66,9.91003,1.33837,0,1
67,9.90403,1.3821,0,1
68,9.90045,1.4075,0,1
69,9.89912,1.41684,0,1
70,9.89896,1.41797,0,1
71,9.89523,1.44379,0,1
72,9.89321,1.45754,0,1
73,9.89223,1.46418,0,1
74,9.89019,1.4779,0,1
75,9.87743,1.56089,0,1
76,9.87669,1.56558,0,1
77,9.86764,1.62164,0,1
78,9.86183,1.65659,0,1
79,9.85735,1.68303,0,1
80,9.85712,1.68439,0,1
81,9.85382,1.7036,0,1
82,9.85004,1.72533,0,1
83,9.84803,1.73677,0,1
84,9.84239,1.76842,0,1
85,9.83725,1.79678,0,1
86,9.83693,1.79854,0,1
87,9.83621,1.8025,0,1
88,9.83607,1.80327,0,1
89,9.83013,1.83537,0,1
90,9.82725,1.85073,0,1
91,9.82466,1.8644,0,1
92,9.82339,1.87111,0,1
93,9.81503,1.91447,0,1
94,9.81154,1.93227,0,1
95,9.80778,1.95127,0,1
96,9.8077,1.9517,0,1
97,9.80554,1.96251,0,1
98,9.79871,1.99631,0,1
99,9.79795,2.00003,0,1
100,9.78915,2.04268,0,1
101,9.77062,2.12955,0,1
102,9.76771,2.14284,0,1
103,9.76696,2.14628,0,1
104,9.76635,2.14903,0,1
105,9.76606,2.15036,0,1
106,9.76524,2.15407,0,1
107,9.76032,2.17627,0,1
108,9.75213,2.21268,0,1
109,9.75091,2.21806,0,1
110,9.74553,2.24157,0,1
111,9.74552,2.24161,0,1
112,9.73321,2.29449,0,1
113,9.71572,2.36743,0,1
114,9.71568,2.36761,0,1
115,9.71567,2.36766,0,1
116,9.71221,2.3818,0,1
117,9.705,2.41101,0,1
118,9.70314,2.41849,0,1
119,9.69747,2.4411,0,1
120,9.68623,2.48534,0,1
121,9.67767,2.51846,0,1
122,9.67319,2.53562,0,1
123,9.67073,2.545,0,1
124,9.66813,2.55485,0,1
125,9.66145,2.58,0,1
126,9.65963,2.58681,0,1
127,9.6529,2.61179,0,1
128,9.65094,2.61903,0,1
129,9.64708,2.63323,0,1
130,9.64458,2.64238,0,1
131,9.63661,2.67128,0,1
132,9.61906,2.73382,0,1
133,9.61628,2.74356,0,1
134,9.61142,2.76055,0,1
135,9.60643,2.77786,0,1
136,9.60329,2.78868,0,1
137,9.59345,2.82237,0,1
138,9.58255,2.85916,0,1
139,9.57419,2.88701,0,1
140,9.57078,2.8983,0,1
141,9.5698,2.90154,0,1
142,9.56229,2.9262,0,1
143,9.5566,2.94474,0,1
144,9.54993,2.96629,0,1
145,9.54297,2.98859,0,1
146,9.54279,2.98919,0,1
147,9.54211,2.99133,0,1
148,9.5393,3.00028,0,1
149,9.53734,3.00652,0,1
150,9.53694,3.0078,0,1
151,9.52791,3.03626,0,1
152,9.52763,3.03714,0,1
153,9.52646,3.0408,0,1
154,9.50762,3.09922,0,1
155,9.50046,3.1211,0,1
156,9.4944,3.13948,0,1
157,9.47701,3.1916,0,1
158,9.47689,3.19194,0,1
159,9.47427,3.19972,0,1
160,9.47198,3.20648,0,1
161,9.46193,3.23602,0,1
162,9.45977,3.24234,0,1
163,9.45625,3.25259,0,1
164,9.45575,3.25403,0,1
165,9.44893,3.27379,0,1
166,9.44728,3.27855,0,1
