leaf_index,r0,r1,r2,r3,r4,r5
0,-4.881783752997433,-0.4953630367406472,-8.558403872803662,-0.5135055286275616,-6.881685479895145,-5.766735510274243
1,-1.7229740617955827,-5.908008636308387,-4.504063123269405,-9.724408867569316,-2.4648689132519337,-4.618566867807218
2,-6.702682835009078,-2.1157129657159572,-6.96805170708355,-5.465021105193485,-8.659583027528353,-5.968870135528707
3,-7.965447593238504,-7.376866595581505,-2.4963532736994747,-7.195912420139601,-5.148090255683649,-0.19262800198761454
4,-0.38342806336213187,-2.7521005922646635,-4.587731444525658,-7.231087959546292,-8.393479912248731,-0.30074586783867474
5,-4.839314144521213,-8.841343875292297,-3.765102444624996,-2.23316885657702,-3.869966989469596,-0.8270229520909727
6,-9.60407123335797,-4.714107367399784,-5.406641171145963,-9.376504208501244,-3.58671830860625,-1.4736716151934317
7,-4.07058981895716,-7.399025522627768,-1.601184789685913,-4.905041184784906,-4.89111115533467,-2.469697922978221
8,-8.520779642150435,-1.8037328088072293,-3.1671309399674286,-2.1290305844519892,-8.083837409798647,-1.976358388654699
9,-8.086760739427998,-9.184473826364872,-1.4477302571292974,-1.3871650382233156,-1.2346290358341943,-5.280902806412097
10,-7.2595161138628175,-9.929081713968337,-3.5427910442505217,-2.8009061649130693,-1.6443078349972584,-7.181221726354579
11,-7.8478183283702645,-3.6066861993341215,-1.9494516685499033,-0.36329127155029184,-8.494751695788224,-5.177876118006635
12,-1.0528413780382646,-5.772830930545627,-4.104979379159519,-9.755093225066368,-3.265401128470611,-0.8091138036617753
13,-1.7317467044327888,-1.1447973329005325,-3.396446194794766,-7.544477327568224,-2.314830011037456,-7.883252573924895
14,-1.6872516533553892,-9.372820774292318,-1.7451218660644425,-8.354927335258987,-6.248530035033582,-6.832618334430357
15,-3.086629647222587,-8.21428121825628,-6.037438377830135,-9.94175404892019,-7.375052872498985,-5.788111857710447
16,-8.940787632926755,-3.6684005396344226,-6.195757301134677,-2.7470606192376117,-3.461339889316056,-5.687732512225939
17,-1.3267949435780082,-3.67864882499833,-1.8972564789370097,-6.58205276059887,-4.563307103315443,-8.037031148852465
18,-0.038588098813720606,-7.567845356936729,-7.431325327728972,-9.26809927609034,-7.421968810032634,-2.3687146745594676
19,-3.0210642931691867,-8.713267876828306,-6.237614985719057,-5.790786053825371,-3.350157536380393,-5.440710369562511
20,-4.134816731744686,-1.603153963910577,-2.7352638968762957,-6.349927364914411,-5.516036906555158,-6.323004303099934
21,-8.902653359933034,-7.967584559126034,-7.161935110558689,-6.858661043976978,-6.869521411800623,-4.23300283747048
22,-0.283100243802453,-2.2533586507626797,-2.088660518271947,-2.4073149946042003,-4.030122694762436,-0.8230774282908726
23,-3.10369844552919,-4.99643569263129,-9.229161914994613,-5.1155077291447615,-7.871690046596656,-8.673037024532128
24,-4.93935077470627,-2.1491470740304095,-7.049935571944806,-2.3122824009083356,-4.743704768377459,-8.509519766292875
25,-0.35032256020264185,-5.983637761114825,-7.047657443373042,-1.5300162936627046,-8.755396674845201,-2.6640953892629664
26,-8.121752574345317,-6.075082239874176,-7.681001215378616,-1.587720073076131,-6.099254480601383,-0.2530718711771076
27,-3.7473851558489324,-3.063771652970848,-4.784748778675825,-6.910318009244088,-6.044435789475713,-0.5906581233809831
28,-7.987967992753355,-0.11781098779787769,-2.4169413799618154,-6.402130735073897,-3.584864104943967,-6.190184607069124
29,-6.1850706736008,-4.961970498054704,-9.83277178364623,-5.064284400566038,-0.2840158655311207,-7.145347712144216
30,-2.5178204092338783,-5.57211109929505,-7.907189573822145,-0.9499742918187053,-9.83172715319787,-6.964910734004893
31,-0.009741176760623915,-7.378532038100105,-1.5095547814072798,-3.9431685134429575,-1.9396429247287639,-3.6968224455652177
32,-6.373031429421516,-2.392112154165175,-9.735154510960276,-5.531870482655481,-6.28145430129894,-5.229259943626506
33,-8.723793135039305,-7.774931340537275,-4.379484099002906,-6.122308843440461,-2.0834379440965947,-3.948634107224855
34,-1.3873331521300596,-2.676391626743955,-3.9817655224143502,-7.123843978040043,-2.172395320738315,-7.4873242182891815
35,-9.247888881855955,-0.3713542155677221,-4.599887949035308,-2.261057024501887,-4.707771923696399,-3.8842026962817853
36,-9.661077494834938,-8.132063206461915,-3.253106045652226,-4.2943540204750175,-8.414449660132874,-0.47970731273815304
37,-8.456463674525956,-4.896967502613147,-8.559971249807424,-2.8262827389376532,-7.236869859048473,-8.658660248782168
38,-9.540128193294844,-8.251644621023765,-8.082012832764336,-4.630279204282074,-5.489611138286088,-0.4270563274646264
39,-0.45848663133357626,-2.0345388953156966,-3.284123660192967,-1.5497690843165355,-0.6124817152011541,-9.773822711129972
40,-8.818947728491413,-6.397361153163569,-9.064131469574003,-4.004755269467228,-7.396357776518913,-7.3566027086767445
41,-7.116720113521344,-9.0228434241561,-2.590555467618411,-3.4932757040034987,-3.934919093587376,-9.659544177222246
42,-5.705358553611225,-3.1479641010015733,-8.436533500964137,-6.143421553424492,-9.801658545300631,-9.18142002922758
43,-7.835464200009461,-5.853498388587513,-5.367599637126201,-1.1547846838188711,-6.833415578259867,-9.785361237228086
44,-1.737766532288349,-9.381530646264272,-9.070080073377717,-0.36818283260265083,-2.466345818716416,-6.62145797220745
45,-8.678211583808043,-6.1326942682813845,-6.608051072198265,-1.2555879855752679,-5.8124698268596,-9.17954993984378
46,-0.731947976414137,-3.7768663628473984,-8.832901432189978,-8.868258399535776,-5.340667588357357,-9.079110343108837
47,-3.6824780779724158,-3.836162089050897,-9.679186513818463,-1.9257721895870556,-2.132052390605015,-0.8469173138469159
48,-3.2969335326152294,-3.071377676647767,-8.362583455468322,-9.761111860211884,-9.3443684758158,-0.35538659839642683
49,-3.5427863444036642,-0.5309333350659262,-6.5061564112790435,-2.4477842333858604,-9.346010346383332,-8.337948344070288
50,-7.2286666512801006,-4.496817482992583,-4.4259111990908995,-5.010135476929851,-5.755364153679224,-4.242948396609014
51,-0.333376046121618,-5.419204395138808,-1.6252857820159523,-9.441280349681287,-6.1441274276994235,-4.395035563576009
52,-3.7967944434506284,-7.499816600679887,-6.007089865134048,-0.5299383126430985,-3.5114924598805093,-4.1503375158770535
53,-9.34701289480159,-9.478237423568523,-7.8860155216793535,-8.62177224151367,-0.1625007072671245,-9.97252852397336
54,-6.341564708194829,-9.415775503761983,-3.5998944168232336,-9.53466797925141,-9.315903644582777,-9.200574943918811
55,-7.282148686971205,-4.2364193200334945,-1.9455138236914635,-7.328084154987392,-7.168289434305336,-1.7551785604806298
56,-2.540516198236774,-8.731852516426654,-1.9365106529364304,-1.6874889136471882,-8.22174216432894,-3.7305200142744646
57,-8.032563781787621,-7.565072879719175,-5.05994244671358,-4.777799720491915,-5.209664846018127,-4.588589466957913
58,-7.8683532357454755,-2.2141963187208793,-7.221515879713917,-0.8731671028088979,-4.848446964104104,-6.963159470554152
59,-8.256160974916998,-5.1479603758396975,-6.237026998486477,-3.769062092780673,-5.015404173770501,-9.630403019993032
60,-1.6690523119146636,-9.48326060880604,-1.7240483614078954,-1.872503565832238,-0.7601687471243821,-3.3559895884846727
61,-8.393763658946495,-5.580705885459622,-5.605673398295295,-3.676670135180852,-6.188624675959565,-3.243219120308817
62,-7.960926199021623,-6.466492218534413,-4.566865887126456,-5.72348948785551,-8.774743492309998,-0.34171879237495695
63,-3.0870459786352855,-1.6696492220897419,-6.425392537108535,-0.5510408983091271,-1.8755289944715745,-0.2049375441211403
64,-8.026057476101945,-5.2283052339925735,-6.141510059276306,-3.8610500439696303,-7.497802663320399,-8.995277102493137
65,-5.233834131710854,-3.605280634803666,-6.159845815086902,-0.12560657283712828,-5.940112278511018,-7.0018445756218695
66,-1.8610217490048857,-5.33310196967204,-7.267832173007928,-7.135089755283936,-0.5284421075576162,-0.3826325184007793
67,-3.5376310375701294,-7.212320233252363,-2.886309562810151,-7.832305180638912,-6.779153125860641,-4.582636402972345
68,-5.9885583883545435,-6.489761373654131,-0.25865570513511926,-8.29793825520251,-3.862214410505822,-9.614586105161504
69,-9.082852628660955,-7.900039949882754,-0.08313803985535273,-2.7357536077219997,-1.3196190437080109,-9.505162153632835
70,-3.1856154734732716,-5.600635205639942,-5.835800514446507,-2.9174520575202836,-6.916810494644194,-4.865321767289753
71,-7.392752781762836,-6.085959294075915,-4.666738247952478,-8.421189971737368,-7.238128780947965,-5.795940947784597
72,-5.272520214718446,-1.9999603198898175,-3.5704988613240065,-4.375099334778827,-1.3013260629960346,-8.026511352232363
73,-8.95916964821965,-6.0627478663226455,-8.628100444427218,-4.440189618991335,-4.263566679341152,-8.684064502503098
74,-2.839460053036067,-4.434605165743887,-5.768180057303589,-0.8251822670069195,-1.4408770561665687,-7.790308362351331
75,-8.33416823474181,-0.8446359608528251,-8.427481114862294,-2.427936735813785,-6.874829841878864,-6.3881465336748615
76,-4.462753540322227,-0.7403583257666266,-9.979431569353801,-8.3771266559768,-2.797882213400511,-6.055334705755042
77,-7.121895801032023,-0.3710434187245859,-7.359715766757203,-2.8583304213161123,-0.3577433090744506,-2.372339437535624
78,-2.9058596407948825,-2.767932872323099,-1.9477389316905427,-7.28786351080077,-3.733132748215753,-1.9711410595643297
79,-1.1177035870316754,-0.9416584679194191,-0.9610360641250395,-9.023662005351273,-6.2359391262211865,-5.4360791650958085
80,-1.083145960330837,-5.807463806201366,-7.350878966408695,-9.801412268407416,-7.112457222378346,-2.1927581526657214
81,-9.798290619401484,-8.350060720515124,-6.890315791534356,-4.679889281154795,-6.3695668180518625,-1.1736030541023403
82,-7.925223711481356,-4.3836559958097645,-2.221824948623005,-0.7039177090601356,-1.2651972665862452,-8.644789962593194
83,-2.0819992035441057,-3.2465373050198876,-5.783964426129964,-9.744329010375369,-8.320185290420136,-2.505391737679422
84,-9.159952322232254,-6.873500750119359,-7.447875617233955,-2.538991031013593,-6.409401708236825,-9.128117590112481
85,-6.295578981838834,-6.731701232813182,-2.829786326806026,-6.79877779801312,-3.063843509079601,-4.61405546566241
86,-1.1226717127552845,-2.6663482705641233,-5.920812574636135,-5.150904818015557,-5.286142401346633,-1.2829760248147508
87,-8.619638282874542,-5.757699875714857,-4.650879425187097,-5.637771677613039,-4.019715320012196,-5.011569045801508
88,-5.863042573380326,-3.1318702738400415,-6.70677534291533,-3.9309898633097653,-2.7144165266612568,-8.69353364206117
89,-6.73547898495068,-0.5529544440139471,-0.33978712437375513,-0.07611236864339688,-9.57474166111729,-1.7349123108815085
90,-0.647241930057902,-0.9805555994475608,-2.850586965193857,-3.2438065711211035,-2.803933835116136,-4.251141818529884
91,-2.115799201566836,-4.980703961993518,-7.740625001087716,-9.056509750218332,-0.9174427669762757,-2.4512101859691358
92,-8.22758064239657,-1.7754172267657768,-6.9965324707582255,-3.6434502789140213,-6.438471422513014,-7.85836913669357
93,-8.243912362171885,-9.290496892555923,-9.255614436053413,-9.309097892674178,-9.100812333626283,-1.6597071099994558
94,-4.821916744836542,-8.714159852005306,-4.750053511171902,-4.573701984459113,-5.034079650558261,-7.935136353830697
95,-5.656021127754696,-1.2914354643061952,-6.162645222149258,-4.960147570878366,-0.6975760092498415,-7.671986020555837
96,-2.7449231319376146,-5.1615866549609315,-2.1263208670035834,-6.403264851742152,-4.576413851260623,-6.3171405634851165
97,-1.3385075954703822,-0.8518211034141281,-3.6817871614590816,-0.18979763537179295,-2.679443180921515,-1.695760680317692
98,-1.052793501380748,-7.2809423823387975,-0.1332206968289089,-6.095859766571852,-5.027874561841483,-8.196762683370032
99,-1.7852121499669273,-6.631023733088096,-3.1065555451516556,-7.816444051316875,-6.486369394448705,-6.157555137170933
100,-7.633760060642871,-9.649365579308114,-2.2979108390277316,-0.4964533694332083,-7.737521424437249,-8.373486350292922
101,-6.523958246444223,-9.172339983702875,-3.5026712423676045,-6.314474808003901,-4.375214457331863,-0.9415001363503457
102,-1.3842067110605072,-0.7832314095302166,-0.649422832286092,-4.101806399135017,-4.976997141370494,-9.623848343629303
103,-8.975586886199217,-4.760766051254035,-1.439916953888389,-5.673654392882681,-9.962706377136122,-7.876968938048301
104,-2.400295817802311,-8.415820114702221,-8.004236648445977,-7.1446393579655165,-3.907166234385315,-1.6359444522925681
105,-7.811051625720814,-4.005321262185424,-4.700593868533156,-5.551357935238518,-4.195794763442203,-1.8588147642751753
106,-7.825119433215395,-5.027658491205738,-9.020794388538716,-4.867624449312956,-2.0899214267973214,-0.014411093482959103
107,-5.243069459142161,-7.033965993002433,-4.204964180828061,-6.282479451893516,-8.8299761088044,-4.755014279695047
108,-2.0086430899412164,-1.0887271262687452,-0.2188881229958639,-6.32275377141437,-7.483348224184757,-8.891792264536907
109,-5.637680827005908,-1.9297283975294555,-7.653552123754823,-1.5043350193373453,-2.8826298218132216,-7.990571794739565
110,-3.6824846086070444,-1.803078172064918,-0.6712963387902633,-8.377852363034124,-1.779848063441742,-2.24150912168275
111,-7.562783593584129,-7.054185893318569,-0.4291596774774771,-6.379839420396439,-7.110238947495567,-2.799888807952831
112,-8.67093989540047,-5.1683068337810525,-6.418668737623854,-4.560136570376448,-3.967498561494943,-3.5989254609952246
113,-5.676009418111968,-1.1306759124598642,-1.643239076360409,-0.666422146079638,-5.540943583767516,-2.6991408552569762
114,-5.69304213213727,-7.212172454693508,-3.4811355288274592,-0.5401284248936928,-1.9569211909480337,-7.147982256279826
115,-7.718942436384628,-2.2835453881173295,-2.9487152056320998,-1.3639825374519976,-8.536383890411056,-1.3832076384708678
116,-5.6737454734125095,-7.266545216074457,-6.567553375073713,-0.06496095987255934,-0.4396787498033792,-9.162539645198791
117,-6.848115322829106,-2.804209753435318,-9.64674868391711,-9.64076345562837,-9.551097065781676,-1.315551667421488
118,-6.66267560339015,-6.812601672284881,-2.0665617894984933,-6.814337085233978,-2.615691444047763,-6.306592715967799
119,-7.024806866208348,-6.127734857046626,-8.319627573931923,-9.249888536926198,-1.2879855349625142,-1.3161682023544845
120,-5.3917865713649915,-3.116237742755086,-1.3735038373762691,-6.092766241023711,-2.881896715742406,-2.452085798920094
121,-9.219253899694133,-8.618379271727036,-2.496700175143614,-2.9435106261900117,-8.14732518019808,-1.7326807704432419
122,-1.990988290176043,-6.67256471374842,-6.597180009096958,-8.894280066657451,-5.545168440260978,-8.902387399213724
123,-4.565928580782193,-3.7541668312892282,-4.1805885729130825,-9.283514561483571,-3.783295530016092,-2.477850688447022
124,-8.581467921965723,-4.049232041335641,-1.8094452476129828,-8.06380558620297,-0.8658507920343315,-0.2808591858598586
125,-2.883554438267711,-1.2796423197533713,-7.282172864639348,-3.3503161296362727,-0.7385574554208976,-9.552709792541437
126,-1.7917546367757442,-7.6307683294139945,-1.988868880703162,-3.575804597540108,-1.984553960284515,-5.990050197131088
127,-5.497839524874357,-0.7570267482685153,-9.287662993874633,-8.437992731974123,-0.2716758948876077,-0.8674869332248356
128,-8.531319457277185,-0.2654078298810898,-7.345445684812223,-1.0789313373069795,-0.9522477241974165,-9.7625420635533
129,-9.902883650318556,-6.730051386971713,-0.6882152264447754,-2.086563116502437,-6.13149021539871,-1.419891861787935
130,-6.924381697079925,-6.525825973958913,-8.095216781612502,-0.40448895573092436,-1.9636936679649342,-5.3757519458924445
131,-7.357234294116212,-0.3402039947129687,-6.0318003444012,-7.892944355331521,-5.753436186163022,-2.8087828974888183
132,-2.2931520101692904,-8.910144478635058,-0.5406923244623805,-3.2542924738350845,-9.375042379344317,-1.6256356234098295
133,-0.28096263105774355,-1.6225235772953273,-9.902151207055411,-5.269110918209451,-4.108262260405802,-1.120013062973717
134,-4.972395145851809,-9.226761846175995,-0.6647449496396405,-0.48264202183635874,-5.138377849860236,-9.465572635166703
135,-1.611093208353262,-2.5832732355897967,-0.28765920199079176,-9.926863054626006,-5.645055504799031,-7.161976013676297
136,-8.922949043166689,-2.6486539732690346,-6.587850836229359,-9.61030860878842,-8.66373194273595,-1.939997027722999
137,-3.941289820106199,-7.8494937482638525,-3.0395777199822662,-8.695952062872294,-3.268122424980212,-3.4495974457730547
138,-9.944742684674043,-4.884845262512197,-2.7368456806732953,-2.4146626037685426,-2.942916607729318,-1.1495438612908178
139,-2.437921595276861,-0.7801009997252066,-5.8519299641788605,-9.658390133348453,-8.189965849927836,-7.122177186139412
140,-9.582083861966753,-8.918404581439516,-4.812208788670955,-7.475106168681112,-7.144648651041988,-2.5853047337135866
141,-1.45320365686403,-1.379601917659679,-6.293784025974444,-2.90369926692885,-1.4769536708714188,-8.490424599388533
142,-7.994463325278756,-3.5203970690493342,-7.344496400795794,-8.073228461949238,-6.324797726774269,-9.840167528277679
143,-5.616807235392185,-9.527300577896622,-7.552897516005025,-7.824577991386617,-6.705547661215436,-8.746100435172634
144,-5.288035835755434,-3.1214335667532875,-6.61071076495808,-0.7280678121425055,-1.4023312111163904,-6.939848645670632
145,-9.610995964778569,-2.3180829923077626,-7.599876870949101,-6.678389594212484,-4.206647736531649,-0.01120323112836985
146,-7.003224333880081,-5.314769970760054,-3.725491171369163,-3.1662762084312055,-7.8783381655019955,-4.04678252497742
147,-4.558935570935035,-3.4142013719239106,-8.85003024966751,-8.73705484063123,-0.24472509584042612,-1.786984354546263
148,-1.7244268490450025,-0.6589559189909284,-0.3935223998208581,-6.065124679000676,-2.459328237631423,-3.5837990744448085
149,-4.401497305386288,-3.206516166784663,-6.805665488754772,-1.3782128206462474,-5.929776717924218,-8.518213122895483
150,-9.8901914898614,-3.6081066793412306,-7.683683110350746,-0.4393444009180545,-8.04995542587892,-6.838205919483402
151,-0.1586831626657279,-4.801453797095715,-0.7797540104399943,-2.1856232617133102,-8.81034306530535,-7.840165630195718
152,-6.1282244259279945,-1.1904374927724053,-6.6601171765476845,-5.369179614456759,-5.1923451798067575,-6.752447528974802
153,-2.135147155167857,-9.451732724338187,-7.740898387529041,-1.749147929074116,-3.8365829659580166,-4.8817517021617
154,-6.3049203623712815,-8.6986042320714,-5.4321569079663545,-0.1290552418762978,-4.049115252377149,-4.234206492584081
155,-0.09881415043649078,-1.145966197446052,-0.008006817215417072,-0.4636666043837341,-3.325031482614018,-6.946878063395438
156,-3.7185682197284367,-6.517901641862266,-1.8923046920808702,-8.626995389242452,-5.374536665214695,-1.5922397785311357
157,-5.4548791354479516,-3.989821505801191,-9.01717062015317,-7.148950165435551,-0.4551477131228303,-3.4306045466750836
158,-6.350608312750489,-4.831188240341753,-2.251314218665158,-2.125296500531361,-1.7203206102093773,-7.103573212024524
159,-7.616940612019093,-3.6149151750073987,-4.72799352624445,-4.351132485019385,-7.853850817959462,-6.813758718345993
160,-2.4794681943371613,-6.41676742794462,-2.4251444938356794,-9.53355337173772,-0.49133820295430297,-7.919269613111119
161,-5.217923669491443,-0.7911474676778809,-7.465203173614444,-7.7261572741736995,-0.1435929406764327,-0.9556983277932432
162,-4.677538027808823,-9.389780549410306,-3.9533129179115285,-7.484218124232936,-7.859895240950178,-0.6785696332733444
163,-3.8057675778270186,-5.559604750230819,-9.373411414143364,-6.283786013969896,-1.3601685023882801,-6.97323717375303
164,-6.772057269311581,-3.9314393318858745,-7.478593213794734,-4.430652371904149,-2.3131746617782065,-7.133262233455728
165,-5.272491292052047,-4.2373266336570525,-6.36668608554726,-7.763816254453958,-8.855981329825017,-4.345162079082724
166,-0.625707821291261,-9.81233797492551,-1.3433653812985433,-0.3752688975695566,-4.5767349851585255,-0.3211654155211807
167,-2.952175634824962,-4.547747919706504,-5.363249821050057,-5.336009930663101,-3.1800327292587145,-7.654946312240497
168,-2.8459887549639804,-5.090102629725259,-3.2533778146181156,-0.5913824958775962,-7.665463182079693,-5.967744815389805
169,-7.248398710247768,-9.473235852828685,-3.779102928171568,-3.7147998499247805,-0.005891498587933697,-3.9897309626184283
170,-6.038935373912151,-0.9884128066127431,-9.846156788055634,-6.972930307564327,-2.4807095278573286,-8.38512986478326
171,-6.387640248205416,-1.509363634419767,-6.553253506548708,-7.570392910656159,-1.094117317191504,-9.225827947253807
172,-1.4330819271928092,-6.846153826025264,-7.922152828454293,-5.121212369402178,-5.1658188524743505,-0.35303012743138495
173,-2.4749530045989774,-5.398775664504446,-4.40551820622264,-6.816317328693487,-0.17278407665602558,-6.140611968820934
174,-1.1431057302029917,-3.4392281431334393,-0.8385592756341964,-6.454323393195382,-5.833035733954155,-6.30673036904245
175,-1.729571817986141,-0.46877234708697024,-1.7543066779635108,-5.4857872747484056,-1.709032725719407,-2.698136310271204
176,-4.808667623498114,-8.165049904030598,-7.62129066553528,-2.962357447581577,-8.012605930246673,-4.396540153809317
177,-1.9581129248040554,-3.4610192262583883,-3.9024428281420063,-7.422666366282212,-8.800640313868339,-9.660901502532319
178,-9.53659906431617,-7.682375394691279,-4.423173208947285,-5.7631973884068035,-7.959010691634672,-6.973128613222007
179,-5.387487092454738,-2.0105777009584402,-3.4407085110337077,-9.590944691559685,-5.184810039334673,-8.140028591380922
180,-1.4516713228572726,-1.150957662326503,-4.453352888868592,-2.6359195751740296,-3.1321899748375603,-1.831651321435432
181,-7.2118425567088025,-7.707116858647407,-2.536909443860437,-0.4091807390615756,-7.701821771626438,-4.322260164601104
182,-4.557804874681379,-6.2644177660489175,-2.4976221326459394,-8.682336523241617,-6.282229261719078,-5.689327714075933
183,-0.4700022068865124,-3.156962096201114,-2.890411213766492,-0.0020885639691101687,-7.732212949703742,-3.9647336759580876
184,-8.923383042376148,-8.375033258413811,-3.038721590261753,-1.740165723229813,-3.6420241040326475,-4.202171054380932
185,-2.09369273704148,-0.4376257884827659,-0.744778267478166,-1.9122299317068272,-5.678820955028168,-2.3366599199704208
186,-7.661676876812659,-0.9595132184317698,-7.202656958404382,-0.1961528881439918,-6.983167450375587,-7.359167232464502
187,-6.636725579616291,-5.148581048611192,-7.997993565294005,-7.362768079687315,-1.157634316159191,-0.6868018428192375
188,-8.446201173875611,-5.586487735739805,-5.801535914581859,-1.7171088404661745,-3.3958605075202373,-5.919583243602337
189,-2.11304207029057,-3.948490111664719,-7.9063890375366,-2.0737184394670436,-5.343624835177117,-1.1304949977403247
190,-3.347713097149729,-8.488538928817901,-2.4332430345861775,-4.187942471443864,-4.58420541859568,-5.802624452408484
191,-3.3710975523765994,-9.367102117747258,-4.961664375229158,-0.6449328118476512,-7.951328627824408,-8.629866061093828
192,-5.894796554810149,-4.804895580556179,-6.234741654253363,-5.160589704342188,-3.253318726911502,-2.072214314466457
193,-9.484085131152419,-6.182877859165603,-3.8076908399005127,-9.79084339533173,-0.5080391419453605,-3.5917902333774574
194,-5.149963256388502,-5.516856981008093,-8.527423180601662,-9.337449969146768,-3.190332926178648,-0.7601386051097592
195,-2.0763149812201,-9.78545665078449,-9.610315180559123,-4.873415019091453,-4.267358743851121,-3.9365359613115967
196,-1.2397517455602252,-1.0213421187230498,-0.1070556910718441,-6.663637185163813,-5.314561255945174,-0.06370687061632196
197,-2.996372048379481,-9.425650849773252,-0.9044840726162526,-3.833272633103869,-8.062877482324748,-6.522709452754814
198,-4.223407078913875,-3.4723355588481724,-5.89271524618625,-2.5564090405380435,-4.671734742751022,-0.25242193810786695
199,-1.4650393695061261,-8.499034567048641,-8.969123085878694,-1.464704069673349,-3.9226932754227173,-0.23776433539572217
200,-5.641652205373809,-8.207016266733335,-9.630116536247264,-2.314152782896919,-9.164820706330731,-3.560968473170192
201,-4.3645643316262035,-2.6043167959807096,-0.5610873699799193,-7.634785096158334,-5.173959073040501,-2.4843793127054017
