leaf_index,r0,r1,r2,r3,r4,r5,is_dominated,ground_truth_pareto
0,9.72372,1.53372,0.67504,1.26698,0.97992,0.2753,0,1
1,9.58393,0.78085,0.234,0.56563,1.198,2.39346,0,1
2,9.57724,0.18759,0.42742,2.3278,0.49197,1.54848,0,1
3,9.4925,1.13071,2.54394,1.05895,0.36134,0.94362,0,1
4,9.44111,0.06144,1.44702,1.3151,2.44084,1.03951,0,1
5,9.42905,1.0514,2.79849,0.51717,0.5112,1.27564,0,1
6,9.42182,1.85015,2.66403,0.12198,0.12007,0.82452,0,1
7,9.38894,0.19995,2.94231,0.57553,1.45232,0.84269,0,1
8,9.38389,1.35245,0.20755,2.55477,1.84438,0.37666,0,1
9,9.30411,1.91365,0.40781,2.90423,0.78643,0.74306,0,1
10,9.29084,2.13743,2.12678,1.57435,0.40597,1.3947,0,1
11,9.2751,1.04435,1.48012,1.0405,3.05699,0.51302,0,1
12,9.26495,3.47265,0.63828,0.55873,0.12965,1.16829,0,1
13,9.25569,1.59518,1.42409,2.01617,2.33696,0.48287,0,1
14,9.23891,0.03108,2.12028,0.31909,2.95854,1.13636,0,1
15,9.2335,2.75552,0.68095,0.67559,2.43026,0.56855,0,1
16,9.21466,0.21681,1.88184,1.83242,2.79999,0.55142,0,1
17,9.19895,0.72555,2.70763,1.45173,1.48972,1.78742,0,1
18,9.07475,3.83596,0.2301,1.23298,0.95177,0.67481,0,1
19,9.06573,2.77264,2.60668,0.30175,0.30807,1.7732,0,1
20,9.05987,1.59316,1.60102,0.7243,2.75623,2.167,0,1
21,9.04781,2.32071,1.4456,0.57541,3.04444,1.03057,0,1
22,8.96243,1.55423,2.28618,1.01287,2.4492,2.23788,0,1
23,8.96169,2.42283,3.53663,0.54747,0.66723,0.7519,0,1
24,8.94131,2.39445,1.98936,2.72555,1.01774,1.37754,0,1
25,8.90856,0.12956,3.79187,2.34492,0.60613,0.61349,0,1
26,8.85643,1.74399,3.57794,0.85431,1.97212,1.04949,0,1
27,8.85565,3.78294,1.04887,0.15254,2.34607,0.79957,0,1
