leaf_index,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,is_dominated,ground_truth_pareto
0,8.3289,0.19597,1.70095,1.65628,2.53084,0.49842,2.7406,0.8264,1.91111,2.54064,0,1
1,7.58331,0.17794,0.24475,1.42864,4.23113,1.25831,1.61186,3.74369,2.05931,0.14444,0,1
2,7.13844,1.42052,0.69037,2.48665,3.0169,3.36524,1.47923,1.96122,3.63939,0.81148,0,1
3,7.11964,1.38804,0.73364,3.45212,4.03397,1.2584,2.59408,0.28428,2.98681,1.15804,0,1
4,7.10089,2.34411,0.41281,0.5824,1.42661,2.35781,1.81743,0.64003,5.51495,1.36051,0,1
5,7.07916,1.34339,1.69321,2.68991,2.0361,3.73179,0.37665,2.77712,2.7253,2.15052,0,1
6,7.05944,3.45854,1.03671,0.75023,1.06062,0.66634,0.85137,4.22166,2.95882,2.77387,0,1
7,6.97802,3.3852,0.83528,0.13762,0.38528,0.43916,0.41143,3.25736,5.29245,0.00864,0,1
8,6.87941,3.02276,2.29123,4.87422,1.75937,0.43197,0.04939,0.25808,2.63697,2.05528,0,1
9,6.70477,3.0902,0.28837,5.05126,3.34653,1.95561,0.62911,0.00562,0.79199,1.96254,0,1
10,6.53965,0.97895,1.16714,0.32885,2.73596,1.57053,1.74859,2.92979,1.04932,5.66656,0,1
11,6.45109,1.76744,1.11327,2.68214,3.16764,3.78965,1.39605,3.5555,0.04798,2.79967,0,1
12,6.30113,1.77402,4.08456,0.50707,0.20297,1.05695,2.26162,2.67175,3.51042,3.80437,0,1
13,6.28943,6.35713,0.88184,0.02292,0.54809,1.48837,2.13968,3.00375,1.55876,0.84005,0,1
14,6.22582,0.02968,1.02808,1.12915,6.9535,1.22276,1.22879,0.5559,2.11542,1.66318,0,1
15,6.15643,5.67199,0.36293,1.00419,3.10134,0.18379,0.32289,2.64863,0.3831,3.44505,0,1
16,6.1293,0.63836,1.3626,5.19685,3.93662,3.18162,2.28765,1.4032,0.01821,0.5812,0,1
