leaf_index,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,is_dominated,ground_truth_pareto
0,7.53631,0.7432,4.10976,1.96949,0.14546,1.542,1.56493,1.90854,1.81897,0.96029,2.47112,1.74784,0,1
1,7.19039,0.94173,4.28069,2.31144,1.86694,3.33708,0.72433,1.62268,0.45704,1.94618,0.58408,1.27572,0,1
2,6.81056,1.2486,5.56054,0.99908,1.28553,1.06845,3.58607,0.68306,0.22853,0.1978,1.81676,0.79177,0,1
3,6.79217,3.3276,0.99746,0.72183,1.02047,0.64111,0.81914,4.06183,2.8468,2.66886,1.55072,2.24141,0,1
4,6.67804,0.87966,0.16663,1.04726,1.1454,3.62489,1.57949,1.11269,3.72592,1.77815,4.00969,1.48287,0,1
5,6.57284,2.93513,2.86333,0.08262,0.64047,0.61743,1.15145,4.13129,0.53459,2.68732,2.43076,2.71594,0,1
6,6.54902,0.81927,2.78181,1.89675,1.59156,0.95231,1.33305,4.32884,0.47843,0.88651,3.50097,2.80636,0,1
7,6.49841,2.69877,2.56299,0.56322,3.11698,0.68632,2.88691,0.15951,2.93832,2.73328,2.55016,1.56428,0,1
8,6.39117,4.35324,2.12819,1.42485,1.04332,0.09856,0.79643,2.68078,1.72704,2.20299,1.2234,3.92315,0,1
9,6.37404,3.63873,0.90439,2.86619,1.60307,1.38696,0.49343,5.0695,0.87819,0.98222,0.85605,2.0476,0,1
10,6.1175,0.14537,2.51611,3.63681,2.62032,0.99699,2.73296,3.95782,0.0914,1.44471,0.97774,2.99213,0,1
11,6.07867,0.4926,3.76833,0.41252,0.13388,5.13077,0.9618,2.79028,3.47514,0.13012,1.06318,0.39919,0,1
12,5.78261,1.15072,0.55925,2.01436,2.44389,2.72607,1.19828,1.58872,2.94814,0.65735,4.38347,3.89416,0,1
13,5.67299,1.42804,2.69343,0.96474,0.21647,2.26871,3.2191,3.833,2.54497,0.62019,3.81005,2.44257,0,1
14,5.641,1.64761,1.63653,3.91241,2.01696,3.89629,2.19286,0.4729,2.25166,4.22219,0.11773,0.53581,0,1
15,5.57461,3.87546,1.03906,4.53696,1.19678,1.49821,0.30475,0.87753,2.06816,2.15294,2.33532,3.6517,0,1
16,5.51103,2.7846,3.28362,1.10397,0.5128,2.74299,4.20179,3.11604,0.1182,2.3748,2.46833,1.72497,0,1
17,5.5085,0.85455,0.94572,3.23993,1.01293,0.34915,5.08953,0.56772,2.28381,3.09922,3.27373,2.15006,0,1
18,5.48581,3.20689,2.42537,0.84021,1.9136,1.7093,2.38477,0.51661,0.24869,3.45132,0.76851,5.28505,0,1
19,5.48259,0.8811,1.33858,1.9509,2.0362,1.0725,0.79879,1.72251,4.5924,4.50227,0.51418,3.61118,0,1
20,5.44136,1.18579,2.9223,1.54784,0.3744,0.64213,1.28443,4.61314,3.31499,0.26404,4.83161,0.40409,0,1
21,5.3896,5.02959,1.25525,2.8849,1.9456,2.77306,3.64103,0.79358,0.79877,0.92125,2.94202,0.50273,0,1
22,5.36112,4.58089,0.55067,5.18153,1.32893,0.90467,0.84158,2.40666,1.05315,2.09875,2.6156,1.29705,0,1
23,5.16447,2.06551,3.53041,3.66601,0.88311,0.11331,3.26754,4.13901,2.78881,2.31637,0.49535,1.0813,0,1
24,5.1626,2.48681,0.16621,0.0,0.0,0.02669,0.0,1.7904,0.16822,0.0,0.0,1.42947,1,0
25,5.13294,2.77545,0.79511,3.85471,2.38518,0.88506,3.49243,1.72696,2.55,3.69527,2.02679,2.13109,0,1
26,5.1266,0.32047,1.97944,1.97362,2.06169,2.25173,4.07542,4.7655,0.61936,1.8832,3.51646,0.93084,0,1
27,5.06593,2.00238,0.0284,2.08592,2.1441,0.95756,3.30941,0.9537,0.77456,1.11416,6.44171,2.29396,0,1
28,5.02341,0.0,1.72851,2.73807,2.06938,0.0,1.71218,2.04551,0.0,0.6441,0.0,0.35178,1,0
29,5.01674,0.66644,2.65731,0.49879,3.90068,1.35634,2.55975,1.95678,2.84061,5.38684,0.66564,1.45312,0,1
30,4.98752,0.17869,0.39833,3.9093,0.59717,2.32023,1.69337,4.25474,1.79263,1.28901,0.79035,5.23845,0,1
31,4.96455,1.55632,2.8126,4.47253,2.48908,0.84261,2.14093,5.06024,1.53655,0.11196,0.9377,2.16077,0,1
32,4.94705,3.81017,0.07363,0.88362,0.39784,0.68413,4.81872,1.27231,2.18652,3.52139,3.52261,2.27335,0,1
33,4.94131,3.14651,1.20201,4.79292,0.90731,1.62101,0.05051,2.95598,1.41158,3.49025,3.68263,1.15702,0,1
34,4.9271,1.97765,4.25431,0.18119,3.17173,1.40259,4.08974,1.72532,1.89147,2.74336,0.08872,3.2923,0,1
35,4.79056,3.2734,1.71684,3.92146,2.04147,2.04374,1.71846,0.79152,0.45137,2.78704,1.70727,5.01995,0,1
36,4.74079,0.04722,0.33177,1.2759,5.47737,1.49532,1.97775,2.53606,2.72148,0.10025,0.47124,5.05623,0,1
37,4.73797,3.16641,1.78952,2.65013,0.46987,1.45968,0.09001,0.77451,6.31893,3.47711,0.2514,1.5027,0,1
38,4.67873,3.00672,0.0753,2.13071,0.97518,3.45666,0.65436,1.63577,3.66675,2.54588,1.26327,5.19594,0,1
39,4.65682,1.97798,6.43592,1.12125,1.40297,0.38081,0.69235,3.31985,0.96023,2.00791,2.36141,2.75306,0,1
40,4.63125,3.49172,1.39975,3.17041,1.32408,4.54906,1.24741,2.58231,3.26893,0.71931,3.32637,1.18708,0,1
41,4.62448,0.33674,4.68702,0.56069,3.9239,1.05657,1.4148,4.01012,2.81465,1.00554,2.59119,2.44431,0,1
42,4.61864,2.29056,1.26806,1.51194,0.79687,4.07491,6.66314,0.15677,1.36077,1.32503,2.02468,0.39874,0,1
43,4.61252,4.09585,2.30667,0.87726,0.16375,2.81154,0.89309,3.47149,1.55586,4.62577,3.14403,1.17249,0,1
44,4.54569,2.95694,3.38051,5.32242,1.54696,1.70928,0.64975,0.45111,2.48424,3.02813,0.15769,3.08721,0,1
45,4.4939,5.22115,2.90795,2.6011,2.05884,0.63958,3.62995,1.83773,1.92839,2.56232,2.28333,0.78938,0,1
46,4.48339,5.93809,1.41388,2.89352,0.8113,3.1623,1.33749,1.16585,3.6259,2.39506,1.177,0.43752,0,1
47,4.46262,2.62617,0.32023,3.34854,2.83814,0.55987,1.01339,6.09923,3.70498,1.11671,0.48365,0.26282,0,1
48,4.45396,1.15523,5.59446,1.57506,3.62647,0.4502,0.18021,0.93841,2.00797,2.37212,3.11672,3.37771,0,1
49,4.41554,1.4071,1.37113,3.85058,1.75393,0.01211,2.92043,0.91853,0.71734,1.05222,6.89915,0.38343,0,1
50,4.38512,2.15111,3.53809,2.39248,0.02494,4.81567,3.51348,2.92518,1.30182,3.0948,0.64045,1.45812,0,1
51,4.35453,3.17684,3.82665,2.33211,2.05147,4.68671,2.19343,2.94987,2.68368,1.77196,0.7678,0.49555,0,1
52,4.34837,1.27139,3.78745,6.82695,1.60892,0.21117,2.50487,1.93301,0.76865,1.8572,0.9821,0.93518,0,1
53,4.34641,0.68685,0.74118,4.6691,0.33602,4.13365,2.34926,3.59305,0.01697,1.92834,3.79806,2.12463,0,1
